COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
HENDERSON,Greg Abbott,7839,8448,93,Governor,Republican
HIDALGO,Greg Abbott,4760,5850,81,Governor,Republican
HILL,Greg Abbott,5051,5630,90,Governor,Republican
HOCKLEY,Greg Abbott,1659,1784,93,Governor,Republican
HOOD,Greg Abbott,7215,7951,91,Governor,Republican
HOPKINS,Greg Abbott,2947,3132,94,Governor,Republican
HOUSTON,Greg Abbott,1711,1787,96,Governor,Republican
HOWARD,Greg Abbott,2672,3017,89,Governor,Republican
HUDSPETH,Greg Abbott,0,0,0,Governor,Republican
HUNT,Greg Abbott,7366,8130,91,Governor,Republican
HUTCHINSON,Greg Abbott,2112,2335,90,Governor,Republican
IRION,Greg Abbott,208,226,92,Governor,Republican
JACK,Greg Abbott,804,867,93,Governor,Republican
JACKSON,Greg Abbott,1130,1212,93,Governor,Republican
JASPER,Greg Abbott,2263,2370,95,Governor,Republican
JEFF DAVIS,Greg Abbott,202,226,89,Governor,Republican
JEFFERSON,Greg Abbott,9996,10512,95,Governor,Republican
JIM HOGG,Greg Abbott,8,10,80,Governor,Republican
JIM WELLS,Greg Abbott,520,557,93,Governor,Republican
JOHNSON,Greg Abbott,10766,11725,92,Governor,Republican
JONES,Greg Abbott,1512,1678,90,Governor,Republican
KARNES,Greg Abbott,313,332,94,Governor,Republican
KAUFMAN,Greg Abbott,8456,9207,92,Governor,Republican
KENDALL,Greg Abbott,5392,5903,91,Governor,Republican
KENEDY,Greg Abbott,17,17,100,Governor,Republican
KENT,Greg Abbott,97,108,90,Governor,Republican
KERR,Greg Abbott,7962,8801,90,Governor,Republican
KIMBLE,Greg Abbott,970,1089,89,Governor,Republican
KING,Greg Abbott,74,76,97,Governor,Republican
KINNEY,Greg Abbott,290,324,90,Governor,Republican
KLEBERG,Greg Abbott,812,880,92,Governor,Republican
KNOX,Greg Abbott,437,481,91,Governor,Republican
LAMAR,Greg Abbott,4975,5421,92,Governor,Republican
LAMB,Greg Abbott,1236,1382,89,Governor,Republican
LAMPASAS,Greg Abbott,2257,2492,91,Governor,Republican
LA SALLE,Greg Abbott,7,7,100,Governor,Republican
LAVACA,Greg Abbott,2189,2336,94,Governor,Republican
LEE,Greg Abbott,1054,1134,93,Governor,Republican
LEON,Greg Abbott,2491,2699,92,Governor,Republican
LIBERTY,Greg Abbott,6142,6648,92,Governor,Republican
LIMESTONE,Greg Abbott,2099,2278,92,Governor,Republican
LIPSCOMB,Greg Abbott,526,617,85,Governor,Republican
LIVE OAK,Greg Abbott,775,803,97,Governor,Republican
LLANO,Greg Abbott,3603,4006,90,Governor,Republican
LOVING,Greg Abbott,8,10,80,Governor,Republican
LUBBOCK,Greg Abbott,20564,22497,91,Governor,Republican
LYNN,Greg Abbott,828,1023,81,Governor,Republican
MADISON,Greg Abbott,1447,1684,86,Governor,Republican
MARION,Greg Abbott,595,663,90,Governor,Republican
MARTIN,Greg Abbott,675,780,87,Governor,Republican
MASON,Greg Abbott,1000,1111,90,Governor,Republican
MATAGORDA,Greg Abbott,1632,1747,93,Governor,Republican
MAVERICK,Greg Abbott,62,79,78,Governor,Republican
MCCULLOCH,Greg Abbott,1412,1619,87,Governor,Republican
MCLENNAN,Greg Abbott,10498,11076,95,Governor,Republican
MCMULLEN,Greg Abbott,147,165,89,Governor,Republican
MEDINA,Greg Abbott,3830,4135,93,Governor,Republican
MENARD,Greg Abbott,418,483,87,Governor,Republican
MIDLAND,Greg Abbott,11746,12641,93,Governor,Republican
MILAM,Greg Abbott,2239,2522,89,Governor,Republican
MILLS,Greg Abbott,719,787,91,Governor,Republican
MITCHELL,Greg Abbott,656,729,90,Governor,Republican
MONTAGUE,Greg Abbott,2589,2890,90,Governor,Republican
MONTGOMERY,Greg Abbott,39574,42230,94,Governor,Republican
MOORE,Greg Abbott,1181,1339,88,Governor,Republican
MORRIS,Greg Abbott,541,596,91,Governor,Republican
MOTLEY,Greg Abbott,197,204,97,Governor,Republican
NACOGDOCHES,Greg Abbott,5236,5671,92,Governor,Republican
NAVARRO,Greg Abbott,3941,4315,91,Governor,Republican
NEWTON,Greg Abbott,447,475,94,Governor,Republican
NOLAN,Greg Abbott,1043,1123,93,Governor,Republican
NUECES,Greg Abbott,11541,12399,93,Governor,Republican
OCHILTREE,Greg Abbott,904,988,91,Governor,Republican
OLDHAM,Greg Abbott,367,418,88,Governor,Republican
ORANGE,Greg Abbott,7493,8092,93,Governor,Republican
PALO PINTO,Greg Abbott,2721,2981,91,Governor,Republican
PANOLA,Greg Abbott,3096,3438,90,Governor,Republican
PARKER,Greg Abbott,11705,12741,92,Governor,Republican
PARMER,Greg Abbott,750,837,90,Governor,Republican
PECOS,Greg Abbott,610,655,93,Governor,Republican
POLK,Greg Abbott,5019,5672,88,Governor,Republican
POTTER,Greg Abbott,6263,7127,88,Governor,Republican
PRESIDIO,Greg Abbott,15,16,94,Governor,Republican
RAINS,Greg Abbott,1100,1189,93,Governor,Republican
RANDALL,Greg Abbott,12413,13535,92,Governor,Republican
REAGAN,Greg Abbott,268,296,91,Governor,Republican
REAL,Greg Abbott,768,922,83,Governor,Republican
RED RIVER,Greg Abbott,1350,1508,90,Governor,Republican
REEVES,Greg Abbott,0,0,0,Governor,Republican
REFUGIO,Greg Abbott,554,633,88,Governor,Republican
ROBERTS,Greg Abbott,286,315,91,Governor,Republican
ROBERTSON,Greg Abbott,1236,1312,94,Governor,Republican
ROCKWALL,Greg Abbott,7506,8103,93,Governor,Republican
RUNNELS,Greg Abbott,1510,1648,92,Governor,Republican
RUSK,Greg Abbott,4304,4642,93,Governor,Republican
SABINE,Greg Abbott,1494,1645,91,Governor,Republican
SAN AUGUSTINE,Greg Abbott,719,762,94,Governor,Republican
SAN JACINTO,Greg Abbott,2362,2551,93,Governor,Republican
SAN PATRICIO,Greg Abbott,2740,2935,93,Governor,Republican
SAN SABA,Greg Abbott,859,945,91,Governor,Republican
