COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE,PARTY
EL PASO,Dan Branch,2546,9245,28,Attorney General,Republican
ERATH,Dan Branch,1286,3524,36,Attorney General,Republican
FALLS,Dan Branch,367,995,37,Attorney General,Republican
FANNIN,Dan Branch,820,2426,34,Attorney General,Republican
FAYETTE,Dan Branch,1500,3706,40,Attorney General,Republican
FISHER,Dan Branch,114,240,48,Attorney General,Republican
FLOYD,Dan Branch,265,909,29,Attorney General,Republican
FOARD,Dan Branch,0,0,0,Attorney General,Republican
FORT BEND,Dan Branch,8529,27458,31,Attorney General,Republican
FRANKLIN,Dan Branch,569,1357,42,Attorney General,Republican
FREESTONE,Dan Branch,674,2113,32,Attorney General,Republican
FRIO,Dan Branch,0,0,0,Attorney General,Republican
GAINES,Dan Branch,423,1387,30,Attorney General,Republican
GALVESTON,Dan Branch,4821,17526,28,Attorney General,Republican
GARZA,Dan Branch,181,526,34,Attorney General,Republican
GILLESPIE,Dan Branch,1469,3794,39,Attorney General,Republican
GLASSCOCK,Dan Branch,92,200,46,Attorney General,Republican
GOLIAD,Dan Branch,371,850,44,Attorney General,Republican
GONZALES,Dan Branch,557,1522,37,Attorney General,Republican
GRAY,Dan Branch,736,2038,36,Attorney General,Republican
GRAYSON,Dan Branch,2849,9512,30,Attorney General,Republican
GREGG,Dan Branch,2508,7548,33,Attorney General,Republican
GRIMES,Dan Branch,666,1589,42,Attorney General,Republican
GUADALUPE,Dan Branch,3929,10673,37,Attorney General,Republican
HALE,Dan Branch,799,2259,35,Attorney General,Republican
HALL,Dan Branch,78,201,39,Attorney General,Republican
HAMILTON,Dan Branch,489,1199,41,Attorney General,Republican
HANSFORD,Dan Branch,430,991,43,Attorney General,Republican
HARDEMAN,Dan Branch,56,170,33,Attorney General,Republican
HARDIN,Dan Branch,1370,6566,21,Attorney General,Republican
HARRIS,Dan Branch,37048,132804,28,Attorney General,Republican
HARRISON,Dan Branch,1829,4684,39,Attorney General,Republican
HARTLEY,Dan Branch,323,805,40,Attorney General,Republican
HASKELL,Dan Branch,76,247,31,Attorney General,Republican
HAYS,Dan Branch,2872,8077,36,Attorney General,Republican
HEMPHILL,Dan Branch,213,507,42,Attorney General,Republican
HENDERSON,Dan Branch,2921,8128,36,Attorney General,Republican
HIDALGO,Dan Branch,2267,5417,42,Attorney General,Republican
HILL,Dan Branch,2317,5362,43,Attorney General,Republican
HOCKLEY,Dan Branch,582,1721,34,Attorney General,Republican
HOOD,Dan Branch,2862,7593,38,Attorney General,Republican
HOPKINS,Dan Branch,1143,2902,39,Attorney General,Republican
HOUSTON,Dan Branch,655,1716,38,Attorney General,Republican
HOWARD,Dan Branch,1252,2814,44,Attorney General,Republican
HUDSPETH,Dan Branch,0,0,0,Attorney General,Republican
HUNT,Dan Branch,3024,7586,40,Attorney General,Republican
HUTCHINSON,Dan Branch,817,2269,36,Attorney General,Republican
IRION,Dan Branch,84,218,39,Attorney General,Republican
JACK,Dan Branch,335,825,41,Attorney General,Republican
JACKSON,Dan Branch,401,1158,35,Attorney General,Republican
JASPER,Dan Branch,525,2150,24,Attorney General,Republican
JEFF DAVIS,Dan Branch,76,212,36,Attorney General,Republican
JEFFERSON,Dan Branch,2692,9669,28,Attorney General,Republican
JIM HOGG,Dan Branch,4,10,40,Attorney General,Republican
JIM WELLS,Dan Branch,154,518,30,Attorney General,Republican
JOHNSON,Dan Branch,3831,11256,34,Attorney General,Republican
JONES,Dan Branch,687,1587,43,Attorney General,Republican
KARNES,Dan Branch,125,317,39,Attorney General,Republican
KAUFMAN,Dan Branch,2971,8755,34,Attorney General,Republican
KENDALL,Dan Branch,2273,5603,41,Attorney General,Republican
KENEDY,Dan Branch,3,14,21,Attorney General,Republican
KENT,Dan Branch,37,101,37,Attorney General,Republican
KERR,Dan Branch,3095,8147,38,Attorney General,Republican
KIMBLE,Dan Branch,399,952,42,Attorney General,Republican
KING,Dan Branch,28,61,46,Attorney General,Republican
KINNEY,Dan Branch,96,297,32,Attorney General,Republican
KLEBERG,Dan Branch,263,800,33,Attorney General,Republican
KNOX,Dan Branch,175,428,41,Attorney General,Republican
LAMAR,Dan Branch,2165,5077,43,Attorney General,Republican
LAMB,Dan Branch,533,1306,41,Attorney General,Republican
LAMPASAS,Dan Branch,1035,2326,44,Attorney General,Republican
LA SALLE,Dan Branch,3,8,38,Attorney General,Republican
LAVACA,Dan Branch,837,2195,38,Attorney General,Republican
LEE,Dan Branch,365,1079,34,Attorney General,Republican
LEON,Dan Branch,964,2581,37,Attorney General,Republican
LIBERTY,Dan Branch,2060,6293,33,Attorney General,Republican
LIMESTONE,Dan Branch,761,2156,35,Attorney General,Republican
LIPSCOMB,Dan Branch,222,581,38,Attorney General,Republican
LIVE OAK,Dan Branch,294,752,39,Attorney General,Republican
LLANO,Dan Branch,1515,3760,40,Attorney General,Republican
LOVING,Dan Branch,7,10,70,Attorney General,Republican
LUBBOCK,Dan Branch,6004,21980,27,Attorney General,Republican
LYNN,Dan Branch,357,956,37,Attorney General,Republican
MADISON,Dan Branch,633,1588,40,Attorney General,Republican
MARION,Dan Branch,201,617,33,Attorney General,Republican
MARTIN,Dan Branch,268,722,37,Attorney General,Republican
MASON,Dan Branch,427,1007,42,Attorney General,Republican
MATAGORDA,Dan Branch,562,1684,33,Attorney General,Republican
MAVERICK,Dan Branch,25,76,33,Attorney General,Republican
MCCULLOCH,Dan Branch,590,1427,41,Attorney General,Republican
MCLENNAN,Dan Branch,3648,10836,34,Attorney General,Republican
MCMULLEN,Dan Branch,74,144,51,Attorney General,Republican
MEDINA,Dan Branch,1658,3968,42,Attorney General,Republican
MENARD,Dan Branch,127,426,30,Attorney General,Republican
MIDLAND,Dan Branch,4049,12094,33,Attorney General,Republican
MILAM,Dan Branch,808,2395,34,Attorney General,Republican
MILLS,Dan Branch,304,751,40,Attorney General,Republican
MITCHELL,Dan Branch,293,682,43,Attorney General,Republican
MONTAGUE,Dan Branch,974,2694,36,Attorney General,Republican
MONTGOMERY,Dan Branch,9674,40871,24,Attorney General,Republican
MOORE,Dan Branch,474,1283,37,Attorney General,Republican
MORRIS,Dan Branch,190,549,35,Attorney General,Republican
MOTLEY,Dan Branch,63,196,32,Attorney General,Republican
NACOGDOCHES,Dan Branch,2258,5228,43,Attorney General,Republican
NAVARRO,Dan Branch,1815,4133,44,Attorney General,Republican
NEWTON,Dan Branch,70,442,16,Attorney General,Republican
NOLAN,Dan Branch,481,1036,46,Attorney General,Republican
NUECES,Dan Branch,2867,10927,26,Attorney General,Republican
OCHILTREE,Dan Branch,264,928,28,Attorney General,Republican
OLDHAM,Dan Branch,160,394,41,Attorney General,Republican
ORANGE,Dan Branch,1658,7152,23,Attorney General,Republican
PALO PINTO,Dan Branch,1160,2836,41,Attorney General,Republican
PANOLA,Dan Branch,1042,3049,34,Attorney General,Republican
PARKER,Dan Branch,3635,12332,29,Attorney General,Republican
PARMER,Dan Branch,294,816,36,Attorney General,Republican
PECOS,Dan Branch,255,613,42,Attorney General,Republican
POLK,Dan Branch,1842,5180,36,Attorney General,Republican
POTTER,Dan Branch,2884,6860,42,Attorney General,Republican
PRESIDIO,Dan Branch,3,13,23,Attorney General,Republican
RAINS,Dan Branch,487,1143,43,Attorney General,Republican
RANDALL,Dan Branch,4332,13093,33,Attorney General,Republican
REAGAN,Dan Branch,112,263,43,Attorney General,Republican
REAL,Dan Branch,325,830,39,Attorney General,Republican
RED RIVER,Dan Branch,645,1376,47,Attorney General,Republican
REEVES,Dan Branch,0,0,0,Attorney General,Republican
REFUGIO,Dan Branch,146,495,29,Attorney General,Republican
ROBERTS,Dan Branch,100,288,35,Attorney General,Republican
ROBERTSON,Dan Branch,385,1246,31,Attorney General,Republican
ROCKWALL,Dan Branch,2878,7669,38,Attorney General,Republican
RUNNELS,Dan Branch,587,1492,39,Attorney General,Republican
RUSK,Dan Branch,1811,4368,41,Attorney General,Republican
SABINE,Dan Branch,644,1556,41,Attorney General,Republican
SAN AUGUSTINE,Dan Branch,260,709,37,Attorney General,Republican
SAN JACINTO,Dan Branch,946,2478,38,Attorney General,Republican
SAN PATRICIO,Dan Branch,949,2553,37,Attorney General,Republican
SAN SABA,Dan Branch,325,883,37,Attorney General,Republican
SCHLEICHER,Dan Branch,117,372,31,Attorney General,Republican
SCURRY,Dan Branch,605,1575,38,Attorney General,Republican
SHACKELFORD,Dan Branch,187,434,43,Attorney General,Republican
SHELBY,Dan Branch,1068,2611,41,Attorney General,Republican
SHERMAN,Dan Branch,148,334,44,Attorney General,Republican
SMITH,Dan Branch,5791,19898,29,Attorney General,Republican
SOMERVELL,Dan Branch,610,1499,41,Attorney General,Republican
STARR,Dan Branch,0,0,0,Attorney General,Republican
STEPHENS,Dan Branch,867,1699,51,Attorney General,Republican
STERLING,Dan Branch,86,318,27,Attorney General,Republican
STONEWALL,Dan Branch,15,50,30,Attorney General,Republican
SUTTON,Dan Branch,191,579,33,Attorney General,Republican
SWISHER,Dan Branch,170,401,42,Attorney General,Republican
TARRANT,Dan Branch,25014,89542,28,Attorney General,Republican
TAYLOR,Dan Branch,5233,11800,44,Attorney General,Republican
TERRELL,Dan Branch,35,89,39,Attorney General,Republican
TERRY,Dan Branch,630,1578,40,Attorney General,Republican
THROCKMORTON,Dan Branch,114,312,37,Attorney General,Republican
TITUS,Dan Branch,643,1591,40,Attorney General,Republican
TOM GREEN,Dan Branch,2771,7725,36,Attorney General,Republican
TRAVIS,Dan Branch,12482,31729,39,Attorney General,Republican
TRINITY,Dan Branch,903,2172,42,Attorney General,Republican
TYLER,Dan Branch,723,2126,34,Attorney General,Republican
UPSHUR,Dan Branch,1278,3823,33,Attorney General,Republican
UPTON,Dan Branch,41,113,36,Attorney General,Republican
UVALDE,Dan Branch,536,1277,42,Attorney General,Republican
VAL VERDE,Dan Branch,424,1088,39,Attorney General,Republican
VAN ZANDT,Dan Branch,2243,5918,38,Attorney General,Republican
VICTORIA,Dan Branch,2198,5609,39,Attorney General,Republican
WALKER,Dan Branch,1856,4803,39,Attorney General,Republican
WALLER,Dan Branch,1179,3613,33,Attorney General,Republican
WARD,Dan Branch,289,646,45,Attorney General,Republican
WASHINGTON,Dan Branch,1625,4137,39,Attorney General,Republican
WEBB,Dan Branch,324,1079,30,Attorney General,Republican
WHARTON,Dan Branch,1412,3460,41,Attorney General,Republican
WHEELER,Dan Branch,214,641,33,Attorney General,Republican
WICHITA,Dan Branch,2642,7680,34,Attorney General,Republican
WILBARGER,Dan Branch,283,769,37,Attorney General,Republican
WILLACY,Dan Branch,39,121,32,Attorney General,Republican
WILLIAMSON,Dan Branch,7094,23106,31,Attorney General,Republican
WILSON,Dan Branch,1485,3661,41,Attorney General,Republican
WINKLER,Dan Branch,312,747,42,Attorney General,Republican
WISE,Dan Branch,2159,5383,40,Attorney General,Republican
WOOD,Dan Branch,1614,4804,34,Attorney General,Republican
YOAKUM,Dan Branch,290,814,36,Attorney General,Republican
YOUNG,Dan Branch,606,2011,30,Attorney General,Republican
ZAPATA,Dan Branch,0,0,0,Attorney General,Republican
ZAVALA,Dan Branch,0,0,0,Attorney General,Republican
ANDERSON,Ken Paxton,2381,5458,44,Attorney General,Republican
ANDREWS,Ken Paxton,460,1286,36,Attorney General,Republican
ANGELINA,Ken Paxton,2966,7833,38,Attorney General,Republican
ARANSAS,Ken Paxton,1027,2663,39,Attorney General,Republican
ARCHER,Ken Paxton,485,1237,39,Attorney General,Republican
ARMSTRONG,Ken Paxton,213,520,41,Attorney General,Republican
ATASCOSA,Ken Paxton,631,1531,41,Attorney General,Republican
AUSTIN,Ken Paxton,1450,3458,42,Attorney General,Republican
BAILEY,Ken Paxton,191,457,42,Attorney General,Republican
BANDERA,Ken Paxton,1033,2749,38,Attorney General,Republican
BASTROP,Ken Paxton,1731,4434,39,Attorney General,Republican
BAYLOR,Ken Paxton,151,503,30,Attorney General,Republican
BEE,Ken Paxton,395,1159,34,Attorney General,Republican
BELL,Ken Paxton,5356,12956,41,Attorney General,Republican
BEXAR,Ken Paxton,25285,61042,41,Attorney General,Republican
BLANCO,Ken Paxton,498,1559,32,Attorney General,Republican
BORDEN,Ken Paxton,84,196,43,Attorney General,Republican
BOSQUE,Ken Paxton,993,2425,41,Attorney General,Republican
BOWIE,Ken Paxton,3182,7140,45,Attorney General,Republican
BRAZORIA,Ken Paxton,8389,17579,48,Attorney General,Republican
BRAZOS,Ken Paxton,3718,10037,37,Attorney General,Republican
BREWSTER,Ken Paxton,172,461,37,Attorney General,Republican
BRISCOE,Ken Paxton,117,327,36,Attorney General,Republican
BROOKS,Ken Paxton,0,0,0,Attorney General,Republican
BROWN,Ken Paxton,2108,5409,39,Attorney General,Republican
BURLESON,Ken Paxton,386,1068,36,Attorney General,Republican
BURNET,Ken Paxton,1767,5504,32,Attorney General,Republican
CALDWELL,Ken Paxton,463,1173,39,Attorney General,Republican
CALHOUN,Ken Paxton,394,948,42,Attorney General,Republican
CALLAHAN,Ken Paxton,616,1587,39,Attorney General,Republican
CAMERON,Ken Paxton,1120,3611,31,Attorney General,Republican
CAMP,Ken Paxton,389,911,43,Attorney General,Republican
CARSON,Ken Paxton,357,968,37,Attorney General,Republican
CASS,Ken Paxton,1295,3001,43,Attorney General,Republican
CASTRO,Ken Paxton,222,615,36,Attorney General,Republican
CHAMBERS,Ken Paxton,1721,3749,46,Attorney General,Republican
CHEROKEE,Ken Paxton,1889,4820,39,Attorney General,Republican
CHILDRESS,Ken Paxton,248,775,32,Attorney General,Republican
CLAY,Ken Paxton,430,1398,31,Attorney General,Republican
COCHRAN,Ken Paxton,259,591,44,Attorney General,Republican
COKE,Ken Paxton,121,445,27,Attorney General,Republican
COLEMAN,Ken Paxton,489,1383,35,Attorney General,Republican
COLLIN,Ken Paxton,30169,44312,68,Attorney General,Republican
COLLINGSWORTH,Ken Paxton,91,238,38,Attorney General,Republican
COLORADO,Ken Paxton,885,2269,39,Attorney General,Republican
COMAL,Ken Paxton,6088,14005,43,Attorney General,Republican
COMANCHE,Ken Paxton,686,1596,43,Attorney General,Republican
CONCHO,Ken Paxton,98,351,28,Attorney General,Republican
COOKE,Ken Paxton,2470,4551,54,Attorney General,Republican
CORYELL,Ken Paxton,1244,3620,34,Attorney General,Republican
COTTLE,Ken Paxton,102,259,39,Attorney General,Republican
CRANE,Ken Paxton,205,568,36,Attorney General,Republican
CROCKETT,Ken Paxton,20,54,37,Attorney General,Republican
CROSBY,Ken Paxton,120,268,45,Attorney General,Republican
CULBERSON,Ken Paxton,13,19,68,Attorney General,Republican
DALLAM,Ken Paxton,158,420,38,Attorney General,Republican
DALLAS,Ken Paxton,36373,82166,44,Attorney General,Republican
DAWSON,Ken Paxton,516,1440,36,Attorney General,Republican
DEAF SMITH,Ken Paxton,697,1932,36,Attorney General,Republican
DELTA,Ken Paxton,451,875,52,Attorney General,Republican
DENTON,Ken Paxton,21094,36729,57,Attorney General,Republican
DE WITT,Ken Paxton,551,1386,40,Attorney General,Republican
DICKENS,Ken Paxton,129,459,28,Attorney General,Republican
DIMMIT,Ken Paxton,20,32,63,Attorney General,Republican
DONLEY,Ken Paxton,279,748,37,Attorney General,Republican
DUVAL,Ken Paxton,0,0,0,Attorney General,Republican
EASTLAND,Ken Paxton,931,2440,38,Attorney General,Republican
ECTOR,Ken Paxton,3168,7504,42,Attorney General,Republican
EDWARDS,Ken Paxton,111,283,39,Attorney General,Republican
ELLIS,Ken Paxton,6065,12779,47,Attorney General,Republican
EL PASO,Ken Paxton,4072,9245,44,Attorney General,Republican
ERATH,Ken Paxton,1636,3524,46,Attorney General,Republican
FALLS,Ken Paxton,383,995,38,Attorney General,Republican
FANNIN,Ken Paxton,1285,2426,53,Attorney General,Republican
FAYETTE,Ken Paxton,1344,3706,36,Attorney General,Republican
FISHER,Ken Paxton,107,240,45,Attorney General,Republican
FLOYD,Ken Paxton,301,909,33,Attorney General,Republican
FOARD,Ken Paxton,0,0,0,Attorney General,Republican
FORT BEND,Ken Paxton,13338,27458,49,Attorney General,Republican
FRANKLIN,Ken Paxton,519,1357,38,Attorney General,Republican
FREESTONE,Ken Paxton,1066,2113,50,Attorney General,Republican
FRIO,Ken Paxton,0,0,0,Attorney General,Republican
GAINES,Ken Paxton,626,1387,45,Attorney General,Republican
GALVESTON,Ken Paxton,7592,17526,43,Attorney General,Republican
GARZA,Ken Paxton,201,526,38,Attorney General,Republican
GILLESPIE,Ken Paxton,1123,3794,30,Attorney General,Republican
GLASSCOCK,Ken Paxton,59,200,30,Attorney General,Republican
GOLIAD,Ken Paxton,305,850,36,Attorney General,Republican
GONZALES,Ken Paxton,632,1522,42,Attorney General,Republican
GRAY,Ken Paxton,733,2038,36,Attorney General,Republican
GRAYSON,Ken Paxton,4354,9512,46,Attorney General,Republican
GREGG,Ken Paxton,2809,7548,37,Attorney General,Republican
GRIMES,Ken Paxton,653,1589,41,Attorney General,Republican
GUADALUPE,Ken Paxton,4374,10673,41,Attorney General,Republican
HALE,Ken Paxton,836,2259,37,Attorney General,Republican
HALL,Ken Paxton,93,201,46,Attorney General,Republican
HAMILTON,Ken Paxton,465,1199,39,Attorney General,Republican
HANSFORD,Ken Paxton,336,991,34,Attorney General,Republican
HARDEMAN,Ken Paxton,49,170,29,Attorney General,Republican
HARDIN,Ken Paxton,3781,6566,58,Attorney General,Republican
HARRIS,Ken Paxton,51887,132804,39,Attorney General,Republican
HARRISON,Ken Paxton,1736,4684,37,Attorney General,Republican
HARTLEY,Ken Paxton,305,805,38,Attorney General,Republican
HASKELL,Ken Paxton,113,247,46,Attorney General,Republican
HAYS,Ken Paxton,3063,8077,38,Attorney General,Republican
HEMPHILL,Ken Paxton,170,507,34,Attorney General,Republican
HENDERSON,Ken Paxton,3900,8128,48,Attorney General,Republican
HIDALGO,Ken Paxton,1610,5417,30,Attorney General,Republican
HILL,Ken Paxton,2090,5362,39,Attorney General,Republican
HOCKLEY,Ken Paxton,581,1721,34,Attorney General,Republican
HOOD,Ken Paxton,3416,7593,45,Attorney General,Republican
HOPKINS,Ken Paxton,1382,2902,48,Attorney General,Republican
HOUSTON,Ken Paxton,658,1716,38,Attorney General,Republican
HOWARD,Ken Paxton,1025,2814,36,Attorney General,Republican
HUDSPETH,Ken Paxton,0,0,0,Attorney General,Republican
HUNT,Ken Paxton,3633,7586,48,Attorney General,Republican
HUTCHINSON,Ken Paxton,843,2269,37,Attorney General,Republican
IRION,Ken Paxton,69,218,32,Attorney General,Republican
JACK,Ken Paxton,343,825,42,Attorney General,Republican
JACKSON,Ken Paxton,471,1158,41,Attorney General,Republican
JASPER,Ken Paxton,1066,2150,50,Attorney General,Republican
JEFF DAVIS,Ken Paxton,73,212,34,Attorney General,Republican
JEFFERSON,Ken Paxton,4458,9669,46,Attorney General,Republican
JIM HOGG,Ken Paxton,2,10,20,Attorney General,Republican
JIM WELLS,Ken Paxton,220,518,42,Attorney General,Republican
JOHNSON,Ken Paxton,5906,11256,52,Attorney General,Republican
JONES,Ken Paxton,603,1587,38,Attorney General,Republican
KARNES,Ken Paxton,117,317,37,Attorney General,Republican
KAUFMAN,Ken Paxton,4729,8755,54,Attorney General,Republican
KENDALL,Ken Paxton,2221,5603,40,Attorney General,Republican
KENEDY,Ken Paxton,8,14,57,Attorney General,Republican
KENT,Ken Paxton,42,101,42,Attorney General,Republican
KERR,Ken Paxton,2774,8147,34,Attorney General,Republican
KIMBLE,Ken Paxton,259,952,27,Attorney General,Republican
KING,Ken Paxton,15,61,25,Attorney General,Republican
KINNEY,Ken Paxton,141,297,47,Attorney General,Republican
KLEBERG,Ken Paxton,290,800,36,Attorney General,Republican
KNOX,Ken Paxton,167,428,39,Attorney General,Republican
LAMAR,Ken Paxton,1979,5077,39,Attorney General,Republican
LAMB,Ken Paxton,474,1306,36,Attorney General,Republican
LAMPASAS,Ken Paxton,773,2326,33,Attorney General,Republican
LA SALLE,Ken Paxton,4,8,50,Attorney General,Republican
LAVACA,Ken Paxton,763,2195,35,Attorney General,Republican
LEE,Ken Paxton,445,1079,41,Attorney General,Republican
LEON,Ken Paxton,998,2581,39,Attorney General,Republican
LIBERTY,Ken Paxton,2520,6293,40,Attorney General,Republican
LIMESTONE,Ken Paxton,935,2156,43,Attorney General,Republican
LIPSCOMB,Ken Paxton,248,581,43,Attorney General,Republican
LIVE OAK,Ken Paxton,249,752,33,Attorney General,Republican
LLANO,Ken Paxton,1218,3760,32,Attorney General,Republican
LOVING,Ken Paxton,1,10,10,Attorney General,Republican
LUBBOCK,Ken Paxton,8906,21980,41,Attorney General,Republican
LYNN,Ken Paxton,303,956,32,Attorney General,Republican
MADISON,Ken Paxton,611,1588,38,Attorney General,Republican
MARION,Ken Paxton,287,617,47,Attorney General,Republican
MARTIN,Ken Paxton,276,722,38,Attorney General,Republican
MASON,Ken Paxton,316,1007,31,Attorney General,Republican
MATAGORDA,Ken Paxton,735,1684,44,Attorney General,Republican
MAVERICK,Ken Paxton,36,76,47,Attorney General,Republican
MCCULLOCH,Ken Paxton,351,1427,25,Attorney General,Republican
MCLENNAN,Ken Paxton,4299,10836,40,Attorney General,Republican
MCMULLEN,Ken Paxton,43,144,30,Attorney General,Republican
MEDINA,Ken Paxton,1595,3968,40,Attorney General,Republican
MENARD,Ken Paxton,125,426,29,Attorney General,Republican
MIDLAND,Ken Paxton,4578,12094,38,Attorney General,Republican
MILAM,Ken Paxton,729,2395,30,Attorney General,Republican
MILLS,Ken Paxton,279,751,37,Attorney General,Republican
MITCHELL,Ken Paxton,245,682,36,Attorney General,Republican
MONTAGUE,Ken Paxton,1126,2694,42,Attorney General,Republican
MONTGOMERY,Ken Paxton,24023,40871,59,Attorney General,Republican
MOORE,Ken Paxton,469,1283,37,Attorney General,Republican
MORRIS,Ken Paxton,249,549,45,Attorney General,Republican
MOTLEY,Ken Paxton,73,196,37,Attorney General,Republican
NACOGDOCHES,Ken Paxton,1739,5228,33,Attorney General,Republican
NAVARRO,Ken Paxton,1751,4133,42,Attorney General,Republican
NEWTON,Ken Paxton,256,442,58,Attorney General,Republican
NOLAN,Ken Paxton,362,1036,35,Attorney General,Republican
NUECES,Ken Paxton,3287,10927,30,Attorney General,Republican
OCHILTREE,Ken Paxton,360,928,39,Attorney General,Republican
OLDHAM,Ken Paxton,146,394,37,Attorney General,Republican
ORANGE,Ken Paxton,3449,7152,48,Attorney General,Republican
PALO PINTO,Ken Paxton,1273,2836,45,Attorney General,Republican
PANOLA,Ken Paxton,1422,3049,47,Attorney General,Republican
PARKER,Ken Paxton,6884,12332,56,Attorney General,Republican
PARMER,Ken Paxton,310,816,38,Attorney General,Republican
PECOS,Ken Paxton,230,613,38,Attorney General,Republican
POLK,Ken Paxton,1987,5180,38,Attorney General,Republican
POTTER,Ken Paxton,2189,6860,32,Attorney General,Republican
PRESIDIO,Ken Paxton,7,13,54,Attorney General,Republican
RAINS,Ken Paxton,520,1143,45,Attorney General,Republican
RANDALL,Ken Paxton,5235,13093,40,Attorney General,Republican
REAGAN,Ken Paxton,62,263,24,Attorney General,Republican
REAL,Ken Paxton,276,830,33,Attorney General,Republican
RED RIVER,Ken Paxton,543,1376,39,Attorney General,Republican
REEVES,Ken Paxton,0,0,0,Attorney General,Republican
REFUGIO,Ken Paxton,224,495,45,Attorney General,Republican
ROBERTS,Ken Paxton,129,288,45,Attorney General,Republican
ROBERTSON,Ken Paxton,480,1246,39,Attorney General,Republican
ROCKWALL,Ken Paxton,3834,7669,50,Attorney General,Republican
RUNNELS,Ken Paxton,480,1492,32,Attorney General,Republican
RUSK,Ken Paxton,1514,4368,35,Attorney General,Republican
SABINE,Ken Paxton,635,1556,41,Attorney General,Republican
SAN AUGUSTINE,Ken Paxton,293,709,41,Attorney General,Republican
SAN JACINTO,Ken Paxton,986,2478,40,Attorney General,Republican
SAN PATRICIO,Ken Paxton,924,2553,36,Attorney General,Republican
SAN SABA,Ken Paxton,367,883,42,Attorney General,Republican
SCHLEICHER,Ken Paxton,135,372,36,Attorney General,Republican
SCURRY,Ken Paxton,490,1575,31,Attorney General,Republican
SHACKELFORD,Ken Paxton,167,434,38,Attorney General,Republican
SHELBY,Ken Paxton,860,2611,33,Attorney General,Republican
SHERMAN,Ken Paxton,108,334,32,Attorney General,Republican
SMITH,Ken Paxton,9842,19898,49,Attorney General,Republican
SOMERVELL,Ken Paxton,664,1499,44,Attorney General,Republican
STARR,Ken Paxton,0,0,0,Attorney General,Republican
STEPHENS,Ken Paxton,559,1699,33,Attorney General,Republican
STERLING,Ken Paxton,127,318,40,Attorney General,Republican
STONEWALL,Ken Paxton,26,50,52,Attorney General,Republican
SUTTON,Ken Paxton,183,579,32,Attorney General,Republican
SWISHER,Ken Paxton,154,401,38,Attorney General,Republican
TARRANT,Ken Paxton,53367,89542,60,Attorney General,Republican
TAYLOR,Ken Paxton,4275,11800,36,Attorney General,Republican
TERRELL,Ken Paxton,34,89,38,Attorney General,Republican
TERRY,Ken Paxton,583,1578,37,Attorney General,Republican
THROCKMORTON,Ken Paxton,85,312,27,Attorney General,Republican
TITUS,Ken Paxton,596,1591,37,Attorney General,Republican
TOM GREEN,Ken Paxton,2376,7725,31,Attorney General,Republican
TRAVIS,Ken Paxton,10963,31729,35,Attorney General,Republican
TRINITY,Ken Paxton,902,2172,42,Attorney General,Republican
TYLER,Ken Paxton,952,2126,45,Attorney General,Republican
UPSHUR,Ken Paxton,1601,3823,42,Attorney General,Republican
UPTON,Ken Paxton,40,113,35,Attorney General,Republican
UVALDE,Ken Paxton,467,1277,37,Attorney General,Republican
VAL VERDE,Ken Paxton,465,1088,43,Attorney General,Republican
VAN ZANDT,Ken Paxton,2720,5918,46,Attorney General,Republican
VICTORIA,Ken Paxton,2098,5609,37,Attorney General,Republican
WALKER,Ken Paxton,2135,4803,44,Attorney General,Republican
WALLER,Ken Paxton,1650,3613,46,Attorney General,Republican
WARD,Ken Paxton,252,646,39,Attorney General,Republican
WASHINGTON,Ken Paxton,1481,4137,36,Attorney General,Republican
WEBB,Ken Paxton,470,1079,44,Attorney General,Republican
WHARTON,Ken Paxton,1384,3460,40,Attorney General,Republican
WHEELER,Ken Paxton,256,641,40,Attorney General,Republican
WICHITA,Ken Paxton,2224,7680,29,Attorney General,Republican
WILBARGER,Ken Paxton,226,769,29,Attorney General,Republican
WILLACY,Ken Paxton,49,121,40,Attorney General,Republican
WILLIAMSON,Ken Paxton,9473,23106,41,Attorney General,Republican
WILSON,Ken Paxton,1538,3661,42,Attorney General,Republican
WINKLER,Ken Paxton,310,747,41,Attorney General,Republican
WISE,Ken Paxton,2563,5383,48,Attorney General,Republican
WOOD,Ken Paxton,2252,4804,47,Attorney General,Republican
YOAKUM,Ken Paxton,335,814,41,Attorney General,Republican
YOUNG,Ken Paxton,854,2011,42,Attorney General,Republican
ZAPATA,Ken Paxton,0,0,0,Attorney General,Republican
ZAVALA,Ken Paxton,0,0,0,Attorney General,Republican
ANDERSON,Glenn Hegar,2681,5238,51,Comptroller,Republican
ANDREWS,Glenn Hegar,536,1243,43,Comptroller,Republican
ANGELINA,Glenn Hegar,2543,7479,34,Comptroller,Republican
ARANSAS,Glenn Hegar,1451,2834,51,Comptroller,Republican
ARCHER,Glenn Hegar,356,1088,33,Comptroller,Republican
ARMSTRONG,Glenn Hegar,196,468,42,Comptroller,Republican
ATASCOSA,Glenn Hegar,545,1503,36,Comptroller,Republican
AUSTIN,Glenn Hegar,2627,3507,75,Comptroller,Republican
BAILEY,Glenn Hegar,239,436,55,Comptroller,Republican
BANDERA,Glenn Hegar,832,2752,30,Comptroller,Republican
BASTROP,Glenn Hegar,2223,4327,51,Comptroller,Republican
BAYLOR,Glenn Hegar,156,435,36,Comptroller,Republican
BEE,Glenn Hegar,424,1194,36,Comptroller,Republican
