COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
COLEMAN,David Dewhurst,807,1451,56,Lite Guv
COLLIN,David Dewhurst,8244,44624,18,Lite Guv
COLLINGSWORTH,David Dewhurst,98,275,36,Lite Guv
COLORADO,David Dewhurst,749,2404,31,Lite Guv
COMAL,David Dewhurst,3551,14418,25,Lite Guv
COMANCHE,David Dewhurst,524,1691,31,Lite Guv
CONCHO,David Dewhurst,191,380,50,Lite Guv
COOKE,David Dewhurst,1429,4779,30,Lite Guv
CORYELL,David Dewhurst,1478,3809,39,Lite Guv
COTTLE,David Dewhurst,73,218,33,Lite Guv
CRANE,David Dewhurst,235,583,40,Lite Guv
CROCKETT,David Dewhurst,27,65,42,Lite Guv
CROSBY,David Dewhurst,98,277,35,Lite Guv
CULBERSON,David Dewhurst,1,18,6,Lite Guv
DALLAM,David Dewhurst,122,442,28,Lite Guv
DALLAS,David Dewhurst,21183,83696,25,Lite Guv
DAWSON,David Dewhurst,710,1512,47,Lite Guv
DEAF SMITH,David Dewhurst,819,2034,40,Lite Guv
DELTA,David Dewhurst,311,928,34,Lite Guv
DENTON,David Dewhurst,7253,37356,19,Lite Guv
DE WITT,David Dewhurst,467,1446,32,Lite Guv
DICKENS,David Dewhurst,200,488,41,Lite Guv
DIMMIT,David Dewhurst,4,33,12,Lite Guv
DONLEY,David Dewhurst,283,788,36,Lite Guv
DUVAL,David Dewhurst,0,0,0,Lite Guv
EASTLAND,David Dewhurst,1291,2588,50,Lite Guv
ECTOR,David Dewhurst,2467,7687,32,Lite Guv
EDWARDS,David Dewhurst,112,323,35,Lite Guv
ELLIS,David Dewhurst,3465,13394,26,Lite Guv
EL PASO,David Dewhurst,3519,9659,36,Lite Guv
ERATH,David Dewhurst,1085,3729,29,Lite Guv
FALLS,David Dewhurst,311,1021,30,Lite Guv
FANNIN,David Dewhurst,682,2498,27,Lite Guv
FAYETTE,David Dewhurst,1749,4007,44,Lite Guv
FISHER,David Dewhurst,110,250,44,Lite Guv
FLOYD,David Dewhurst,388,968,40,Lite Guv
FOARD,David Dewhurst,0,0,0,Lite Guv
FORT BEND,David Dewhurst,6246,28526,22,Lite Guv
FRANKLIN,David Dewhurst,512,1475,35,Lite Guv
FREESTONE,David Dewhurst,505,2244,23,Lite Guv
FRIO,David Dewhurst,0,0,0,Lite Guv
GAINES,David Dewhurst,595,1481,40,Lite Guv
GALVESTON,David Dewhurst,3665,18558,20,Lite Guv
GARZA,David Dewhurst,191,545,35,Lite Guv
GILLESPIE,David Dewhurst,1311,3995,33,Lite Guv
GLASSCOCK,David Dewhurst,75,217,35,Lite Guv
GOLIAD,David Dewhurst,307,914,34,Lite Guv
GONZALES,David Dewhurst,457,1616,28,Lite Guv
GRAY,David Dewhurst,706,2081,34,Lite Guv
GRAYSON,David Dewhurst,4111,10331,40,Lite Guv
GREGG,David Dewhurst,2379,7842,30,Lite Guv
GRIMES,David Dewhurst,378,1682,22,Lite Guv
GUADALUPE,David Dewhurst,3308,11101,30,Lite Guv
HALE,David Dewhurst,810,2362,34,Lite Guv
HALL,David Dewhurst,67,205,33,Lite Guv
HAMILTON,David Dewhurst,381,1258,30,Lite Guv
HANSFORD,David Dewhurst,462,1068,43,Lite Guv
HARDEMAN,David Dewhurst,82,180,46,Lite Guv
HARDIN,David Dewhurst,2354,7119,33,Lite Guv
HARRIS,David Dewhurst,27152,136694,20,Lite Guv
HARRISON,David Dewhurst,2503,5217,48,Lite Guv
HARTLEY,David Dewhurst,376,860,44,Lite Guv
HASKELL,David Dewhurst,93,252,37,Lite Guv
HAYS,David Dewhurst,2493,8510,29,Lite Guv
HEMPHILL,David Dewhurst,237,551,43,Lite Guv
HENDERSON,David Dewhurst,1767,8538,21,Lite Guv
HIDALGO,David Dewhurst,2748,5645,49,Lite Guv
HILL,David Dewhurst,1835,5588,33,Lite Guv
HOCKLEY,David Dewhurst,692,1777,39,Lite Guv
HOOD,David Dewhurst,2312,7962,29,Lite Guv
HOPKINS,David Dewhurst,958,3105,31,Lite Guv
HOUSTON,David Dewhurst,360,1802,20,Lite Guv
HOWARD,David Dewhurst,1128,2974,38,Lite Guv
HUDSPETH,David Dewhurst,0,0,0,Lite Guv
HUNT,David Dewhurst,2322,8090,29,Lite Guv
HUTCHINSON,David Dewhurst,943,2339,40,Lite Guv
IRION,David Dewhurst,99,226,44,Lite Guv
JACK,David Dewhurst,274,861,32,Lite Guv
JACKSON,David Dewhurst,327,1208,27,Lite Guv
JASPER,David Dewhurst,641,2301,28,Lite Guv
JEFF DAVIS,David Dewhurst,47,221,21,Lite Guv
JEFFERSON,David Dewhurst,3389,10224,33,Lite Guv
JIM HOGG,David Dewhurst,4,10,40,Lite Guv
JIM WELLS,David Dewhurst,233,553,42,Lite Guv
JOHNSON,David Dewhurst,2876,11722,25,Lite Guv
JONES,David Dewhurst,767,1669,46,Lite Guv
KARNES,David Dewhurst,95,339,28,Lite Guv
KAUFMAN,David Dewhurst,2152,9166,23,Lite Guv
KENDALL,David Dewhurst,1895,5856,32,Lite Guv
KENEDY,David Dewhurst,7,16,44,Lite Guv
KENT,David Dewhurst,53,107,50,Lite Guv
KERR,David Dewhurst,2816,8707,32,Lite Guv
KIMBLE,David Dewhurst,541,1062,51,Lite Guv
KING,David Dewhurst,29,68,43,Lite Guv
KINNEY,David Dewhurst,103,309,33,Lite Guv
KLEBERG,David Dewhurst,477,864,55,Lite Guv
KNOX,David Dewhurst,248,469,53,Lite Guv
LAMAR,David Dewhurst,1805,5386,34,Lite Guv
LAMB,David Dewhurst,556,1374,40,Lite Guv
LAMPASAS,David Dewhurst,1010,2468,41,Lite Guv
LA SALLE,David Dewhurst,0,8,0,Lite Guv
LAVACA,David Dewhurst,655,2327,28,Lite Guv
LEE,David Dewhurst,469,1129,42,Lite Guv
LEON,David Dewhurst,603,2735,22,Lite Guv
LIBERTY,David Dewhurst,1490,6659,22,Lite Guv
LIMESTONE,David Dewhurst,870,2252,39,Lite Guv
LIPSCOMB,David Dewhurst,265,614,43,Lite Guv
LIVE OAK,David Dewhurst,241,787,31,Lite Guv
LLANO,David Dewhurst,1630,4003,41,Lite Guv
LOVING,David Dewhurst,4,9,44,Lite Guv
LUBBOCK,David Dewhurst,7765,22439,35,Lite Guv
LYNN,David Dewhurst,401,1012,40,Lite Guv
MADISON,David Dewhurst,390,1671,23,Lite Guv
MARION,David Dewhurst,249,652,38,Lite Guv
MARTIN,David Dewhurst,290,760,38,Lite Guv
MASON,David Dewhurst,495,1116,44,Lite Guv
MATAGORDA,David Dewhurst,339,1741,19,Lite Guv
MAVERICK,David Dewhurst,23,81,28,Lite Guv
MCCULLOCH,David Dewhurst,786,1578,50,Lite Guv
MCLENNAN,David Dewhurst,3087,11061,28,Lite Guv
MCMULLEN,David Dewhurst,31,166,19,Lite Guv
MEDINA,David Dewhurst,1380,4094,34,Lite Guv
MENARD,David Dewhurst,260,475,55,Lite Guv
MIDLAND,David Dewhurst,4008,12500,32,Lite Guv
MILAM,David Dewhurst,955,2524,38,Lite Guv
MILLS,David Dewhurst,275,781,35,Lite Guv
MITCHELL,David Dewhurst,399,720,55,Lite Guv
MONTAGUE,David Dewhurst,1135,2847,40,Lite Guv
MONTGOMERY,David Dewhurst,6498,42433,15,Lite Guv
MOORE,David Dewhurst,528,1340,39,Lite Guv
MORRIS,David Dewhurst,228,588,39,Lite Guv
MOTLEY,David Dewhurst,62,200,31,Lite Guv
NACOGDOCHES,David Dewhurst,1150,5789,20,Lite Guv
NAVARRO,David Dewhurst,1051,4305,24,Lite Guv
NEWTON,David Dewhurst,168,462,36,Lite Guv
NOLAN,David Dewhurst,561,1096,51,Lite Guv
NUECES,David Dewhurst,5220,12230,43,Lite Guv
OCHILTREE,David Dewhurst,456,988,46,Lite Guv
OLDHAM,David Dewhurst,187,419,45,Lite Guv
ORANGE,David Dewhurst,3120,7852,40,Lite Guv
PALO PINTO,David Dewhurst,913,2973,31,Lite Guv
PANOLA,David Dewhurst,1062,3369,32,Lite Guv
PARKER,David Dewhurst,3100,12757,24,Lite Guv
PARMER,David Dewhurst,263,835,31,Lite Guv
PECOS,David Dewhurst,212,633,33,Lite Guv
POLK,David Dewhurst,1022,5587,18,Lite Guv
POTTER,David Dewhurst,2636,7136,37,Lite Guv
PRESIDIO,David Dewhurst,4,15,27,Lite Guv
RAINS,David Dewhurst,292,1188,25,Lite Guv
RANDALL,David Dewhurst,4328,13489,32,Lite Guv
REAGAN,David Dewhurst,141,287,49,Lite Guv
REAL,David Dewhurst,317,903,35,Lite Guv
RED RIVER,David Dewhurst,520,1491,35,Lite Guv
REEVES,David Dewhurst,0,0,0,Lite Guv
REFUGIO,David Dewhurst,302,586,52,Lite Guv
ROBERTS,David Dewhurst,128,305,42,Lite Guv
ROBERTSON,David Dewhurst,324,1299,25,Lite Guv
ROCKWALL,David Dewhurst,2107,8103,26,Lite Guv
RUNNELS,David Dewhurst,869,1620,54,Lite Guv
RUSK,David Dewhurst,1432,4615,31,Lite Guv
SABINE,David Dewhurst,447,1649,27,Lite Guv
SAN AUGUSTINE,David Dewhurst,149,780,19,Lite Guv
SAN JACINTO,David Dewhurst,465,2585,18,Lite Guv
SAN PATRICIO,David Dewhurst,1180,2821,42,Lite Guv
SAN SABA,David Dewhurst,262,935,28,Lite Guv
SCHLEICHER,David Dewhurst,227,421,54,Lite Guv
SCURRY,David Dewhurst,813,1648,49,Lite Guv
SHACKELFORD,David Dewhurst,189,455,42,Lite Guv
SHELBY,David Dewhurst,837,2960,28,Lite Guv
SHERMAN,David Dewhurst,103,353,29,Lite Guv
SMITH,David Dewhurst,3996,20872,19,Lite Guv
SOMERVELL,David Dewhurst,477,1653,29,Lite Guv
STARR,David Dewhurst,0,0,0,Lite Guv
STEPHENS,David Dewhurst,903,1785,51,Lite Guv
STERLING,David Dewhurst,212,363,58,Lite Guv
STONEWALL,David Dewhurst,14,52,27,Lite Guv
SUTTON,David Dewhurst,364,664,55,Lite Guv
SWISHER,David Dewhurst,153,419,37,Lite Guv
TARRANT,David Dewhurst,24302,92805,26,Lite Guv
TAYLOR,David Dewhurst,5396,12160,44,Lite Guv
TERRELL,David Dewhurst,39,104,38,Lite Guv
TERRY,David Dewhurst,655,1655,40,Lite Guv
THROCKMORTON,David Dewhurst,190,366,52,Lite Guv
TITUS,David Dewhurst,647,1743,37,Lite Guv
TOM GREEN,David Dewhurst,3884,8215,47,Lite Guv
TRAVIS,David Dewhurst,11499,33070,35,Lite Guv
TRINITY,David Dewhurst,547,2355,23,Lite Guv
TYLER,David Dewhurst,718,2434,29,Lite Guv
UPSHUR,David Dewhurst,1341,3990,34,Lite Guv
UPTON,David Dewhurst,39,120,33,Lite Guv
UVALDE,David Dewhurst,444,1340,33,Lite Guv
VAL VERDE,David Dewhurst,498,1144,44,Lite Guv
VAN ZANDT,David Dewhurst,1251,6205,20,Lite Guv
VICTORIA,David Dewhurst,3391,6279,54,Lite Guv
WALKER,David Dewhurst,1326,5089,26,Lite Guv
WALLER,David Dewhurst,779,3865,20,Lite Guv
WARD,David Dewhurst,240,661,36,Lite Guv
WASHINGTON,David Dewhurst,1144,4413,26,Lite Guv
WEBB,David Dewhurst,461,1110,42,Lite Guv
WHARTON,David Dewhurst,994,3657,27,Lite Guv
WHEELER,David Dewhurst,269,677,40,Lite Guv
WICHITA,David Dewhurst,3311,7923,42,Lite Guv
WILBARGER,David Dewhurst,390,807,48,Lite Guv
WILLACY,David Dewhurst,48,122,39,Lite Guv
WILLIAMSON,David Dewhurst,7459,24053,31,Lite Guv
WILSON,David Dewhurst,1072,3831,28,Lite Guv
WINKLER,David Dewhurst,337,779,43,Lite Guv
WISE,David Dewhurst,1356,5577,24,Lite Guv
WOOD,David Dewhurst,1392,4953,28,Lite Guv
YOAKUM,David Dewhurst,286,852,34,Lite Guv
YOUNG,David Dewhurst,955,2097,46,Lite Guv
ZAPATA,David Dewhurst,0,0,0,Lite Guv
ZAVALA,David Dewhurst,0,0,0,Lite Guv
ANDERSON,Dan Patrick,1037,6003,17,Lite Guv
ANDREWS,Dan Patrick,438,1337,33,Lite Guv
ANGELINA,Dan Patrick,1772,8474,21,Lite Guv
ARANSAS,Dan Patrick,743,3029,25,Lite Guv
ARCHER,Dan Patrick,372,1294,29,Lite Guv
ARMSTRONG,Dan Patrick,141,435,32,Lite Guv
ATASCOSA,Dan Patrick,618,1585,39,Lite Guv
AUSTIN,Dan Patrick,1729,3655,47,Lite Guv
BAILEY,Dan Patrick,201,471,43,Lite Guv
BANDERA,Dan Patrick,1311,2825,46,Lite Guv
BASTROP,Dan Patrick,1235,4686,26,Lite Guv
BAYLOR,Dan Patrick,106,563,19,Lite Guv
BEE,Dan Patrick,275,1268,22,Lite Guv
BELL,Dan Patrick,4374,13515,32,Lite Guv
BEXAR,Dan Patrick,28913,61433,47,Lite Guv
BLANCO,Dan Patrick,515,1673,31,Lite Guv
BORDEN,Dan Patrick,66,215,31,Lite Guv
BOSQUE,Dan Patrick,859,2549,34,Lite Guv
BOWIE,Dan Patrick,1669,8760,19,Lite Guv
BRAZORIA,Dan Patrick,9127,18295,50,Lite Guv
BRAZOS,Dan Patrick,3145,10645,30,Lite Guv
BREWSTER,Dan Patrick,121,466,26,Lite Guv
BRISCOE,Dan Patrick,73,341,21,Lite Guv
BROOKS,Dan Patrick,0,0,0,Lite Guv
BROWN,Dan Patrick,1549,5780,27,Lite Guv
BURLESON,Dan Patrick,344,1122,31,Lite Guv
BURNET,Dan Patrick,1702,5902,29,Lite Guv
CALDWELL,Dan Patrick,368,1223,30,Lite Guv
CALHOUN,Dan Patrick,392,998,39,Lite Guv
CALLAHAN,Dan Patrick,496,1625,31,Lite Guv
CAMERON,Dan Patrick,985,3831,26,Lite Guv
CAMP,Dan Patrick,220,969,23,Lite Guv
CARSON,Dan Patrick,283,1013,28,Lite Guv
CASS,Dan Patrick,820,3289,25,Lite Guv
CASTRO,Dan Patrick,143,638,22,Lite Guv
CHAMBERS,Dan Patrick,1803,3802,47,Lite Guv
CHEROKEE,Dan Patrick,917,5319,17,Lite Guv
CHILDRESS,Dan Patrick,171,835,20,Lite Guv
CLAY,Dan Patrick,467,1455,32,Lite Guv
COCHRAN,Dan Patrick,162,619,26,Lite Guv
COKE,Dan Patrick,90,489,18,Lite Guv
COLEMAN,Dan Patrick,283,1451,20,Lite Guv
COLLIN,Dan Patrick,24007,44624,54,Lite Guv
COLLINGSWORTH,Dan Patrick,52,275,19,Lite Guv
COLORADO,Dan Patrick,996,2404,41,Lite Guv
COMAL,Dan Patrick,7421,14418,51,Lite Guv
COMANCHE,Dan Patrick,564,1691,33,Lite Guv
CONCHO,Dan Patrick,59,380,16,Lite Guv
COOKE,Dan Patrick,1814,4779,38,Lite Guv
CORYELL,Dan Patrick,953,3809,25,Lite Guv
COTTLE,Dan Patrick,47,218,22,Lite Guv
CRANE,Dan Patrick,134,583,23,Lite Guv
CROCKETT,Dan Patrick,7,65,11,Lite Guv
CROSBY,Dan Patrick,83,277,30,Lite Guv
CULBERSON,Dan Patrick,11,18,61,Lite Guv
DALLAM,Dan Patrick,134,442,30,Lite Guv
DALLAS,Dan Patrick,37482,83696,45,Lite Guv
DAWSON,Dan Patrick,345,1512,23,Lite Guv
DEAF SMITH,Dan Patrick,494,2034,24,Lite Guv
DELTA,Dan Patrick,336,928,36,Lite Guv
DENTON,Dan Patrick,20136,37356,54,Lite Guv
DE WITT,Dan Patrick,567,1446,39,Lite Guv
DICKENS,Dan Patrick,124,488,25,Lite Guv
DIMMIT,Dan Patrick,19,33,58,Lite Guv
DONLEY,Dan Patrick,163,788,21,Lite Guv
DUVAL,Dan Patrick,0,0,0,Lite Guv
EASTLAND,Dan Patrick,691,2588,27,Lite Guv
ECTOR,Dan Patrick,3118,7687,41,Lite Guv
EDWARDS,Dan Patrick,89,323,28,Lite Guv
ELLIS,Dan Patrick,5681,13394,42,Lite Guv
EL PASO,Dan Patrick,3562,9659,37,Lite Guv
ERATH,Dan Patrick,1325,3729,36,Lite Guv
FALLS,Dan Patrick,231,1021,23,Lite Guv
FANNIN,Dan Patrick,1001,2498,40,Lite Guv
FAYETTE,Dan Patrick,1131,4007,28,Lite Guv
FISHER,Dan Patrick,64,250,26,Lite Guv
FLOYD,Dan Patrick,199,968,21,Lite Guv
FOARD,Dan Patrick,0,0,0,Lite Guv
FORT BEND,Dan Patrick,14857,28526,52,Lite Guv
FRANKLIN,Dan Patrick,393,1475,27,Lite Guv
FREESTONE,Dan Patrick,807,2244,36,Lite Guv
FRIO,Dan Patrick,0,0,0,Lite Guv
GAINES,Dan Patrick,432,1481,29,Lite Guv
GALVESTON,Dan Patrick,7825,18558,42,Lite Guv
GARZA,Dan Patrick,179,545,33,Lite Guv
GILLESPIE,Dan Patrick,1444,3995,36,Lite Guv
GLASSCOCK,Dan Patrick,69,217,32,Lite Guv
GOLIAD,Dan Patrick,305,914,33,Lite Guv
GONZALES,Dan Patrick,604,1616,37,Lite Guv
GRAY,Dan Patrick,682,2081,33,Lite Guv
GRAYSON,Dan Patrick,3480,10331,34,Lite Guv
GREGG,Dan Patrick,2502,7842,32,Lite Guv
GRIMES,Dan Patrick,746,1682,44,Lite Guv
GUADALUPE,Dan Patrick,4812,11101,43,Lite Guv
HALE,Dan Patrick,858,2362,36,Lite Guv
HALL,Dan Patrick,56,205,27,Lite Guv
HAMILTON,Dan Patrick,432,1258,34,Lite Guv
HANSFORD,Dan Patrick,292,1068,27,Lite Guv
HARDEMAN,Dan Patrick,59,180,33,Lite Guv
HARDIN,Dan Patrick,1797,7119,25,Lite Guv
HARRIS,Dan Patrick,78698,136694,58,Lite Guv
HARRISON,Dan Patrick,1222,5217,23,Lite Guv
HARTLEY,Dan Patrick,183,860,21,Lite Guv
HASKELL,Dan Patrick,81,252,32,Lite Guv
HAYS,Dan Patrick,2477,8510,29,Lite Guv
HEMPHILL,Dan Patrick,117,551,21,Lite Guv
HENDERSON,Dan Patrick,3068,8538,36,Lite Guv
HIDALGO,Dan Patrick,1328,5645,24,Lite Guv
HILL,Dan Patrick,1951,5588,35,Lite Guv
HOCKLEY,Dan Patrick,549,1777,31,Lite Guv
HOOD,Dan Patrick,3366,7962,42,Lite Guv
HOPKINS,Dan Patrick,1200,3105,39,Lite Guv
HOUSTON,Dan Patrick,530,1802,29,Lite Guv
HOWARD,Dan Patrick,949,2974,32,Lite Guv
HUDSPETH,Dan Patrick,0,0,0,Lite Guv
HUNT,Dan Patrick,3311,8090,41,Lite Guv
HUTCHINSON,Dan Patrick,649,2339,28,Lite Guv
IRION,Dan Patrick,66,226,29,Lite Guv
JACK,Dan Patrick,304,861,35,Lite Guv
JACKSON,Dan Patrick,509,1208,42,Lite Guv
JASPER,Dan Patrick,612,2301,27,Lite Guv
JEFF DAVIS,Dan Patrick,62,221,28,Lite Guv
JEFFERSON,Dan Patrick,3618,10224,35,Lite Guv
JIM HOGG,Dan Patrick,1,10,10,Lite Guv
JIM WELLS,Dan Patrick,124,553,22,Lite Guv
JOHNSON,Dan Patrick,5270,11722,45,Lite Guv
JONES,Dan Patrick,476,1669,29,Lite Guv
KARNES,Dan Patrick,148,339,44,Lite Guv
KAUFMAN,Dan Patrick,4407,9166,48,Lite Guv
KENDALL,Dan Patrick,2519,5856,43,Lite Guv
KENEDY,Dan Patrick,0,16,0,Lite Guv
KENT,Dan Patrick,25,107,23,Lite Guv
KERR,Dan Patrick,3385,8707,39,Lite Guv
KIMBLE,Dan Patrick,239,1062,23,Lite Guv
KING,Dan Patrick,14,68,21,Lite Guv
KINNEY,Dan Patrick,129,309,42,Lite Guv
KLEBERG,Dan Patrick,189,864,22,Lite Guv
KNOX,Dan Patrick,98,469,21,Lite Guv
LAMAR,Dan Patrick,1751,5386,33,Lite Guv
LAMB,Dan Patrick,304,1374,22,Lite Guv
LAMPASAS,Dan Patrick,548,2468,22,Lite Guv
LA SALLE,Dan Patrick,3,8,38,Lite Guv
LAVACA,Dan Patrick,853,2327,37,Lite Guv
LEE,Dan Patrick,273,1129,24,Lite Guv
LEON,Dan Patrick,681,2735,25,Lite Guv
LIBERTY,Dan Patrick,3070,6659,46,Lite Guv
LIMESTONE,Dan Patrick,563,2252,25,Lite Guv
LIPSCOMB,Dan Patrick,173,614,28,Lite Guv
LIVE OAK,Dan Patrick,269,787,34,Lite Guv
LLANO,Dan Patrick,1153,4003,29,Lite Guv
LOVING,Dan Patrick,4,9,44,Lite Guv
LUBBOCK,Dan Patrick,8815,22439,39,Lite Guv
LYNN,Dan Patrick,246,1012,24,Lite Guv
MADISON,Dan Patrick,339,1671,20,Lite Guv
MARION,Dan Patrick,175,652,27,Lite Guv
MARTIN,Dan Patrick,201,760,26,Lite Guv
MASON,Dan Patrick,272,1116,24,Lite Guv
MATAGORDA,Dan Patrick,828,1741,48,Lite Guv
MAVERICK,Dan Patrick,35,81,43,Lite Guv
MCCULLOCH,Dan Patrick,308,1578,20,Lite Guv
MCLENNAN,Dan Patrick,4312,11061,39,Lite Guv
MCMULLEN,Dan Patrick,37,166,22,Lite Guv
MEDINA,Dan Patrick,1562,4094,38,Lite Guv
MENARD,Dan Patrick,97,475,20,Lite Guv
MIDLAND,Dan Patrick,4696,12500,38,Lite Guv
MILAM,Dan Patrick,539,2524,21,Lite Guv
MILLS,Dan Patrick,215,781,28,Lite Guv
MITCHELL,Dan Patrick,164,720,23,Lite Guv
MONTAGUE,Dan Patrick,956,2847,34,Lite Guv
MONTGOMERY,Dan Patrick,25673,42433,61,Lite Guv
MOORE,Dan Patrick,399,1340,30,Lite Guv
MORRIS,Dan Patrick,156,588,27,Lite Guv
MOTLEY,Dan Patrick,76,200,38,Lite Guv
NACOGDOCHES,Dan Patrick,1031,5789,18,Lite Guv
NAVARRO,Dan Patrick,1647,4305,38,Lite Guv
NEWTON,Dan Patrick,109,462,24,Lite Guv
NOLAN,Dan Patrick,262,1096,24,Lite Guv
NUECES,Dan Patrick,3179,12230,26,Lite Guv
OCHILTREE,Dan Patrick,309,988,31,Lite Guv
OLDHAM,Dan Patrick,93,419,22,Lite Guv
ORANGE,Dan Patrick,2391,7852,30,Lite Guv
PALO PINTO,Dan Patrick,965,2973,32,Lite Guv
PANOLA,Dan Patrick,766,3369,23,Lite Guv
PARKER,Dan Patrick,6317,12757,50,Lite Guv
PARMER,Dan Patrick,290,835,35,Lite Guv
PECOS,Dan Patrick,196,633,31,Lite Guv
POLK,Dan Patrick,2264,5587,41,Lite Guv
POTTER,Dan Patrick,2121,7136,30,Lite Guv
PRESIDIO,Dan Patrick,0,15,0,Lite Guv
RAINS,Dan Patrick,514,1188,43,Lite Guv
RANDALL,Dan Patrick,4639,13489,34,Lite Guv
REAGAN,Dan Patrick,65,287,23,Lite Guv
REAL,Dan Patrick,311,903,34,Lite Guv
RED RIVER,Dan Patrick,420,1491,28,Lite Guv
REEVES,Dan Patrick,0,0,0,Lite Guv
REFUGIO,Dan Patrick,83,586,14,Lite Guv
ROBERTS,Dan Patrick,69,305,23,Lite Guv
ROBERTSON,Dan Patrick,419,1299,32,Lite Guv
ROCKWALL,Dan Patrick,3357,8103,41,Lite Guv
RUNNELS,Dan Patrick,284,1620,18,Lite Guv
RUSK,Dan Patrick,1230,4615,27,Lite Guv
SABINE,Dan Patrick,334,1649,20,Lite Guv
SAN AUGUSTINE,Dan Patrick,146,780,19,Lite Guv
SAN JACINTO,Dan Patrick,1185,2585,46,Lite Guv
SAN PATRICIO,Dan Patrick,583,2821,21,Lite Guv
SAN SABA,Dan Patrick,294,935,31,Lite Guv
SCHLEICHER,Dan Patrick,61,421,14,Lite Guv
SCURRY,Dan Patrick,478,1648,29,Lite Guv
SHACKELFORD,Dan Patrick,102,455,22,Lite Guv
SHELBY,Dan Patrick,514,2960,17,Lite Guv
SHERMAN,Dan Patrick,97,353,27,Lite Guv
SMITH,Dan Patrick,8309,20872,40,Lite Guv
SOMERVELL,Dan Patrick,564,1653,34,Lite Guv
STARR,Dan Patrick,0,0,0,Lite Guv
STEPHENS,Dan Patrick,395,1785,22,Lite Guv
STERLING,Dan Patrick,46,363,13,Lite Guv
STONEWALL,Dan Patrick,20,52,38,Lite Guv
SUTTON,Dan Patrick,132,664,20,Lite Guv
SWISHER,Dan Patrick,125,419,30,Lite Guv
TARRANT,Dan Patrick,46655,92805,50,Lite Guv
TAYLOR,Dan Patrick,4167,12160,34,Lite Guv
TERRELL,Dan Patrick,18,104,17,Lite Guv
TERRY,Dan Patrick,434,1655,26,Lite Guv
THROCKMORTON,Dan Patrick,66,366,18,Lite Guv
TITUS,Dan Patrick,576,1743,33,Lite Guv
TOM GREEN,Dan Patrick,1850,8215,23,Lite Guv
TRAVIS,Dan Patrick,9051,33070,27,Lite Guv
TRINITY,Dan Patrick,805,2355,34,Lite Guv
TYLER,Dan Patrick,710,2434,29,Lite Guv
UPSHUR,Dan Patrick,1006,3990,25,Lite Guv
UPTON,Dan Patrick,32,120,27,Lite Guv
UVALDE,Dan Patrick,430,1340,32,Lite Guv
VAL VERDE,Dan Patrick,388,1144,34,Lite Guv
VAN ZANDT,Dan Patrick,2671,6205,43,Lite Guv
VICTORIA,Dan Patrick,1538,6279,24,Lite Guv
WALKER,Dan Patrick,1989,5089,39,Lite Guv
WALLER,Dan Patrick,2020,3865,52,Lite Guv
WARD,Dan Patrick,72,661,11,Lite Guv
WASHINGTON,Dan Patrick,2027,4413,46,Lite Guv
WEBB,Dan Patrick,315,1110,28,Lite Guv
WHARTON,Dan Patrick,1527,3657,42,Lite Guv
WHEELER,Dan Patrick,191,677,28,Lite Guv
WICHITA,Dan Patrick,2578,7923,33,Lite Guv
WILBARGER,Dan Patrick,202,807,25,Lite Guv
WILLACY,Dan Patrick,31,122,25,Lite Guv
WILLIAMSON,Dan Patrick,8539,24053,36,Lite Guv
WILSON,Dan Patrick,1601,3831,42,Lite Guv
WINKLER,Dan Patrick,210,779,27,Lite Guv
WISE,Dan Patrick,2415,5577,43,Lite Guv
WOOD,Dan Patrick,1714,4953,35,Lite Guv
YOAKUM,Dan Patrick,239,852,28,Lite Guv
YOUNG,Dan Patrick,633,2097,30,Lite Guv
ZAPATA,Dan Patrick,0,0,0,Lite Guv
ZAVALA,Dan Patrick,0,0,0,Lite Guv
ANDERSON,Dan Branch,2250,5458,41,AG
ANDREWS,Dan Branch,515,1286,40,AG
ANGELINA,Dan Branch,2615,7833,33,AG
ARANSAS,Dan Branch,878,2663,33,AG
ARCHER,Dan Branch,437,1237,35,AG
ARMSTRONG,Dan Branch,178,520,34,AG
ATASCOSA,Dan Branch,581,1531,38,AG
AUSTIN,Dan Branch,1202,3458,35,AG
BAILEY,Dan Branch,132,457,29,AG
BANDERA,Dan Branch,1053,2749,38,AG
BASTROP,Dan Branch,1439,4434,32,AG
BAYLOR,Dan Branch,202,503,40,AG
BEE,Dan Branch,418,1159,36,AG
BELL,Dan Branch,4699,12956,36,AG
BEXAR,Dan Branch,21428,61042,35,AG
BLANCO,Dan Branch,595,1559,38,AG
BORDEN,Dan Branch,74,196,38,AG
BOSQUE,Dan Branch,1007,2425,42,AG
BOWIE,Dan Branch,2705,7140,38,AG
BRAZORIA,Dan Branch,5210,17579,30,AG
BRAZOS,Dan Branch,3521,10037,35,AG
BREWSTER,Dan Branch,153,461,33,AG
BRISCOE,Dan Branch,109,327,33,AG
BROOKS,Dan Branch,0,0,0,AG
BROWN,Dan Branch,2196,5409,41,AG
BURLESON,Dan Branch,344,1068,32,AG
BURNET,Dan Branch,2272,5504,41,AG
CALDWELL,Dan Branch,414,1173,35,AG
CALHOUN,Dan Branch,342,948,36,AG
CALLAHAN,Dan Branch,663,1587,42,AG
CAMERON,Dan Branch,1409,3611,39,AG
