COUNTY,CANDIDATE,VOTES,TOTAL,PCT,RACE
KENDALL,John Cornyn,3613,5830,62,Senate
KENEDY,John Cornyn,14,16,88,Senate
KENT,John Cornyn,50,103,49,Senate
KERR,John Cornyn,5196,8561,61,Senate
KIMBLE,John Cornyn,666,1045,64,Senate
KING,John Cornyn,40,69,58,Senate
KINNEY,John Cornyn,205,310,66,Senate
KLEBERG,John Cornyn,535,862,62,Senate
KNOX,John Cornyn,308,453,68,Senate
LAMAR,John Cornyn,3487,5298,66,Senate
LAMB,John Cornyn,826,1321,63,Senate
LAMPASAS,John Cornyn,1460,2409,61,Senate
LA SALLE,John Cornyn,5,8,63,Senate
LAVACA,John Cornyn,1239,2308,54,Senate
LEE,John Cornyn,622,1114,56,Senate
LEON,John Cornyn,1456,2631,55,Senate
LIBERTY,John Cornyn,2496,6561,38,Senate
LIMESTONE,John Cornyn,1417,2195,65,Senate
LIPSCOMB,John Cornyn,388,604,64,Senate
LIVE OAK,John Cornyn,456,782,58,Senate
LLANO,John Cornyn,2626,3966,66,Senate
LOVING,John Cornyn,6,10,60,Senate
LUBBOCK,John Cornyn,13248,22169,60,Senate
LYNN,John Cornyn,557,981,57,Senate
MADISON,John Cornyn,810,1615,50,Senate
MARION,John Cornyn,386,658,59,Senate
MARTIN,John Cornyn,435,731,60,Senate
MASON,John Cornyn,702,1101,64,Senate
MATAGORDA,John Cornyn,786,1729,45,Senate
MAVERICK,John Cornyn,49,79,62,Senate
MCCULLOCH,John Cornyn,935,1541,61,Senate
MCLENNAN,John Cornyn,6543,10890,60,Senate
MCMULLEN,John Cornyn,90,150,60,Senate
MEDINA,John Cornyn,2590,4051,64,Senate
MENARD,John Cornyn,296,465,64,Senate
MIDLAND,John Cornyn,8240,12410,66,Senate
MILAM,John Cornyn,1434,2451,59,Senate
MILLS,John Cornyn,515,773,67,Senate
MITCHELL,John Cornyn,386,689,56,Senate
MONTAGUE,John Cornyn,1617,2747,59,Senate
MONTGOMERY,John Cornyn,17731,40822,43,Senate
MOORE,John Cornyn,874,1321,66,Senate
MORRIS,John Cornyn,360,804,45,Senate
MOTLEY,John Cornyn,115,192,60,Senate
NACOGDOCHES,John Cornyn,3668,5561,66,Senate
NAVARRO,John Cornyn,2718,4195,65,Senate
NEWTON,John Cornyn,222,470,47,Senate
NOLAN,John Cornyn,684,1060,65,Senate
NUECES,John Cornyn,8688,12147,72,Senate
OCHILTREE,John Cornyn,712,975,73,Senate
OLDHAM,John Cornyn,292,411,71,Senate
ORANGE,John Cornyn,3545,7961,45,Senate
PALO PINTO,John Cornyn,1903,2946,65,Senate
PANOLA,John Cornyn,1917,3320,58,Senate
PARKER,John Cornyn,7334,12405,59,Senate
PARMER,John Cornyn,496,818,61,Senate
PECOS,John Cornyn,372,626,59,Senate
POLK,John Cornyn,2615,5635,46,Senate
POTTER,John Cornyn,4531,7048,64,Senate
PRESIDIO,John Cornyn,9,16,56,Senate
RAINS,John Cornyn,708,1151,62,Senate
RANDALL,John Cornyn,8799,13352,66,Senate
REAGAN,John Cornyn,186,268,69,Senate
REAL,John Cornyn,572,890,64,Senate
RED RIVER,John Cornyn,912,1436,64,Senate
REEVES,John Cornyn,0,0,0,Senate
REFUGIO,John Cornyn,338,580,58,Senate
ROBERTS,John Cornyn,190,298,64,Senate
ROBERTSON,John Cornyn,723,1267,57,Senate
ROCKWALL,John Cornyn,5019,7997,63,Senate
RUNNELS,John Cornyn,1087,1594,68,Senate
RUSK,John Cornyn,2853,4504,63,Senate
SABINE,John Cornyn,886,1616,55,Senate
SAN AUGUSTINE,John Cornyn,442,746,59,Senate
SAN JACINTO,John Cornyn,1077,2514,43,Senate
SAN PATRICIO,John Cornyn,1872,2832,66,Senate
SAN SABA,John Cornyn,499,919,54,Senate
SCHLEICHER,John Cornyn,261,419,62,Senate
SCURRY,John Cornyn,1041,1619,64,Senate
SHACKELFORD,John Cornyn,289,448,65,Senate
SHELBY,John Cornyn,1751,2845,62,Senate
SHERMAN,John Cornyn,230,355,65,Senate
SMITH,John Cornyn,12350,20490,60,Senate
SOMERVELL,John Cornyn,959,1564,61,Senate
STARR,John Cornyn,0,0,0,Senate
STEPHENS,John Cornyn,1055,1747,60,Senate
STERLING,John Cornyn,243,366,66,Senate
