COUNTY,CANDIDATE,VOTES,TOTAL,PCT
NAVARRO,Wendy Davis,481,562,86
NEWTON,Wendy Davis,712,1086,66
NOLAN,Wendy Davis,281,355,79
NUECES,Wendy Davis,5411,7688,70
OCHILTREE,Wendy Davis,13,19,68
OLDHAM,Wendy Davis,0,0,0
ORANGE,Wendy Davis,1141,1336,85
PALO PINTO,Wendy Davis,308,354,87
PANOLA,Wendy Davis,195,233,84
PARKER,Wendy Davis,1273,1364,93
PARMER,Wendy Davis,15,28,54
PECOS,Wendy Davis,250,576,43
POLK,Wendy Davis,436,488,89
POTTER,Wendy Davis,669,808,83
PRESIDIO,Wendy Davis,448,975,46
RAINS,Wendy Davis,93,109,85
RANDALL,Wendy Davis,796,909,88
REAGAN,Wendy Davis,5,9,56
REAL,Wendy Davis,13,14,93
RED RIVER,Wendy Davis,255,298,86
REEVES,Wendy Davis,520,1316,40
REFUGIO,Wendy Davis,141,253,56
ROBERTS,Wendy Davis,0,0,0
ROBERTSON,Wendy Davis,1195,1599,75
ROCKWALL,Wendy Davis,912,968,94
RUNNELS,Wendy Davis,38,44,86
RUSK,Wendy Davis,296,346,86
SABINE,Wendy Davis,125,144,87
SAN AUGUSTINE,Wendy Davis,249,346,72
SAN JACINTO,Wendy Davis,527,622,85
SAN PATRICIO,Wendy Davis,895,1644,54
SAN SABA,Wendy Davis,0,0,0
SCHLEICHER,Wendy Davis,95,157,61
SCURRY,Wendy Davis,74,95,78
SHACKELFORD,Wendy Davis,0,0,0
SHELBY,Wendy Davis,379,449,84
SHERMAN,Wendy Davis,9,11,82
SMITH,Wendy Davis,1973,2146,92
SOMERVELL,Wendy Davis,40,44,91
STARR,Wendy Davis,1489,4274,35
STEPHENS,Wendy Davis,39,51,76
STERLING,Wendy Davis,2,2,100
STONEWALL,Wendy Davis,139,199,70
SUTTON,Wendy Davis,18,32,56
SWISHER,Wendy Davis,289,457,63
TARRANT,Wendy Davis,38560,41012,94
TAYLOR,Wendy Davis,824,952,87
TERRELL,Wendy Davis,54,116,47
TERRY,Wendy Davis,78,112,70
THROCKMORTON,Wendy Davis,0,0,0
TITUS,Wendy Davis,354,435,81
TOM GREEN,Wendy Davis,800,935,86
TRAVIS,Wendy Davis,43414,45341,96
TRINITY,Wendy Davis,327,381,86
TYLER,Wendy Davis,289,336,86
UPSHUR,Wendy Davis,245,272,90
UPTON,Wendy Davis,151,349,43
UVALDE,Wendy Davis,1070,1779,60
VAL VERDE,Wendy Davis,2899,5589,52
VAN ZANDT,Wendy Davis,434,469,93
VICTORIA,Wendy Davis,953,1363,70
WALKER,Wendy Davis,692,757,91
WALLER,Wendy Davis,733,839,87
WARD,Wendy Davis,253,525,48
WASHINGTON,Wendy Davis,323,356,91
WEBB,Wendy Davis,10446,23645,44
WHARTON,Wendy Davis,382,455,84
WHEELER,Wendy Davis,36,40,90
WICHITA,Wendy Davis,1147,1265,91
WILBARGER,Wendy Davis,351,508,69
WILLACY,Wendy Davis,967,2478,39
WILLIAMSON,Wendy Davis,6849,7176,95
WILSON,Wendy Davis,891,1187,75
WINKLER,Wendy Davis,17,25,68
WISE,Wendy Davis,535,596,90
WOOD,Wendy Davis,361,404,89
YOAKUM,Wendy Davis,0,0,0
YOUNG,Wendy Davis,137,160,86
ZAPATA,Wendy Davis,535,1532,35
ZAVALA,Wendy Davis,498,1200,42
ANDERSON,Jim Hogan,306,627,49
ANDREWS,Jim Hogan,37,69,54
ANGELINA,Jim Hogan,399,869,46
ARANSAS,Jim Hogan,125,289,43
ARCHER,Jim Hogan,24,55,44
ARMSTRONG,Jim Hogan,0,0,0
ATASCOSA,Jim Hogan,325,788,41
AUSTIN,Jim Hogan,59,172,34
BAILEY,Jim Hogan,11,32,34
BANDERA,Jim Hogan,65,237,27
BASTROP,Jim Hogan,543,1662,33
BAYLOR,Jim Hogan,14,30,47
BEE,Jim Hogan,426,1016,42
BELL,Jim Hogan,1015,2458,41
BEXAR,Jim Hogan,12474,38649,32
BLANCO,Jim Hogan,46,160,29
BORDEN,Jim Hogan,0,0,0
BOSQUE,Jim Hogan,126,255,49
BOWIE,Jim Hogan,141,291,48
BRAZORIA,Jim Hogan,1133,2694,42
BRAZOS,Jim Hogan,741,1782,42
BREWSTER,Jim Hogan,337,1204,28
BRISCOE,Jim Hogan,13,19,68
BROOKS,Jim Hogan,616,1464,42
BROWN,Jim Hogan,79,192,41
BURLESON,Jim Hogan,83,213,39
BURNET,Jim Hogan,168,458,37
CALDWELL,Jim Hogan,679,1837,37
CALHOUN,Jim Hogan,802,1505,53
CALLAHAN,Jim Hogan,0,0,0
CAMERON,Jim Hogan,6331,14067,45
CAMP,Jim Hogan,83,181,46
CARSON,Jim Hogan,32,56,57
CASS,Jim Hogan,327,591,55
CASTRO,Jim Hogan,42,75,56
CHAMBERS,Jim Hogan,123,293,42
CHEROKEE,Jim Hogan,187,412,45
CHILDRESS,Jim Hogan,16,42,38
CLAY,Jim Hogan,45,87,52
COCHRAN,Jim Hogan,0,0,0
COKE,Jim Hogan,9,22,41
COLEMAN,Jim Hogan,26,67,39
COLLIN,Jim Hogan,3155,8130,39
COLLINGSWORTH,Jim Hogan,0,0,0
COLORADO,Jim Hogan,80,216,37
COMAL,Jim Hogan,570,1572,36
COMANCHE,Jim Hogan,71,156,46
CONCHO,Jim Hogan,12,21,57
COOKE,Jim Hogan,110,254,43
CORYELL,Jim Hogan,176,367,48
COTTLE,Jim Hogan,18,35,51
CRANE,Jim Hogan,32,79,41
CROCKETT,Jim Hogan,206,491,42
CROSBY,Jim Hogan,212,369,57
CULBERSON,Jim Hogan,134,374,36
DALLAM,Jim Hogan,0,0,0
DALLAS,Jim Hogan,18670,55015,34
DAWSON,Jim Hogan,137,267,51
DEAF SMITH,Jim Hogan,19,53,36
DELTA,Jim Hogan,52,85,61
DENTON,Jim Hogan,2690,6606,41
DE WITT,Jim Hogan,56,149,38
DICKENS,Jim Hogan,0,0,0
DIMMIT,Jim Hogan,651,2562,25
DONLEY,Jim Hogan,9,19,47
DUVAL,Jim Hogan,1296,2370,55
EASTLAND,Jim Hogan,63,128,49
ECTOR,Jim Hogan,578,1194,48
EDWARDS,Jim Hogan,46,92,50
ELLIS,Jim Hogan,769,1902,40
EL PASO,Jim Hogan,8633,26042,33
ERATH,Jim Hogan,94,240,39
FALLS,Jim Hogan,113,219,52
FANNIN,Jim Hogan,171,394,43
FAYETTE,Jim Hogan,127,322,39
FISHER,Jim Hogan,304,495,61
FLOYD,Jim Hogan,22,29,76
FOARD,Jim Hogan,47,83,57
FORT BEND,Jim Hogan,3517,7707,46
FRANKLIN,Jim Hogan,35,83,42
FREESTONE,Jim Hogan,163,302,54
FRIO,Jim Hogan,661,1432,46
GAINES,Jim Hogan,36,66,55
GALVESTON,Jim Hogan,1661,3842,43
GARZA,Jim Hogan,16,26,62
GILLESPIE,Jim Hogan,86,306,28
GLASSCOCK,Jim Hogan,0,0,0
GOLIAD,Jim Hogan,120,300,40
GONZALES,Jim Hogan,88,190,46
GRAY,Jim Hogan,38,74,51
GRAYSON,Jim Hogan,410,1040,39
GREGG,Jim Hogan,832,1596,52
GRIMES,Jim Hogan,96,239,40
GUADALUPE,Jim Hogan,682,1573,43
HALE,Jim Hogan,100,168,60
HALL,Jim Hogan,33,61,54
HAMILTON,Jim Hogan,66,141,47
HANSFORD,Jim Hogan,0,0,0
HARDEMAN,Jim Hogan,32,66,48
HARDIN,Jim Hogan,235,457,51
HARRIS,Jim Hogan,19799,47072,42
HARRISON,Jim Hogan,593,1118,53
HARTLEY,Jim Hogan,0,0,0
HASKELL,Jim Hogan,116,192,60
HAYS,Jim Hogan,827,2922,28
HEMPHILL,Jim Hogan,8,17,47
HENDERSON,Jim Hogan,373,926,40
HIDALGO,Jim Hogan,11973,30809,39
HILL,Jim Hogan,190,401,47
HOCKLEY,Jim Hogan,73,123,59
HOOD,Jim Hogan,281,585,48
HOPKINS,Jim Hogan,198,420,47
HOUSTON,Jim Hogan,134,235,57
HOWARD,Jim Hogan,92,214,43
HUDSPETH,Jim Hogan,123,356,35
HUNT,Jim Hogan,274,664,41
HUTCHINSON,Jim Hogan,68,139,49
IRION,Jim Hogan,7,19,37
JACK,Jim Hogan,40,71,56
JACKSON,Jim Hogan,54,121,45
JASPER,Jim Hogan,495,787,63
JEFF DAVIS,Jim Hogan,127,364,35
JEFFERSON,Jim Hogan,4078,9105,45
JIM HOGG,Jim Hogan,667,1446,46
JIM WELLS,Jim Hogan,1545,3760,41
JOHNSON,Jim Hogan,561,1214,46
JONES,Jim Hogan,71,135,53
KARNES,Jim Hogan,486,1311,37
KAUFMAN,Jim Hogan,406,1045,39
KENDALL,Jim Hogan,105,319,33
KENEDY,Jim Hogan,23,53,43
KENT,Jim Hogan,72,137,53
KERR,Jim Hogan,115,543,21
KIMBLE,Jim Hogan,0,0,0
KING,Jim Hogan,2,2,100
KINNEY,Jim Hogan,143,333,43
KLEBERG,Jim Hogan,738,1750,42
KNOX,Jim Hogan,40,65,62
LAMAR,Jim Hogan,295,557,53
LAMB,Jim Hogan,53,92,58
LAMPASAS,Jim Hogan,66,161,41
LA SALLE,Jim Hogan,308,796,39
LAVACA,Jim Hogan,136,238,57
LEE,Jim Hogan,130,276,47
LEON,Jim Hogan,55,131,42
LIBERTY,Jim Hogan,227,528,43
LIMESTONE,Jim Hogan,152,299,51
LIPSCOMB,Jim Hogan,5,15,33
LIVE OAK,Jim Hogan,49,113,43
LLANO,Jim Hogan,186,422,44
LOVING,Jim Hogan,5,9,56
LUBBOCK,Jim Hogan,1576,3722,42
LYNN,Jim Hogan,0,0,0
MADISON,Jim Hogan,57,101,56
MARION,Jim Hogan,87,216,40
MARTIN,Jim Hogan,12,26,46
MASON,Jim Hogan,29,61,48
MATAGORDA,Jim Hogan,621,1228,51
MAVERICK,Jim Hogan,1493,3149,47
MCCULLOCH,Jim Hogan,0,0,0
MCLENNAN,Jim Hogan,958,2030,47
MCMULLEN,Jim Hogan,0,0,0
MEDINA,Jim Hogan,160,477,34
MENARD,Jim Hogan,4,20,20
MIDLAND,Jim Hogan,425,878,48
MILAM,Jim Hogan,173,385,45
MILLS,Jim Hogan,0,0,0
MITCHELL,Jim Hogan,46,89,52
MONTAGUE,Jim Hogan,38,90,42
MONTGOMERY,Jim Hogan,602,2280,26
MOORE,Jim Hogan,0,0,0
MORRIS,Jim Hogan,426,811,53
MOTLEY,Jim Hogan,8,14,57
NACOGDOCHES,Jim Hogan,228,624,37
NAVARRO,Jim Hogan,247,503,49
NEWTON,Jim Hogan,557,983,57
NOLAN,Jim Hogan,176,333,53
NUECES,Jim Hogan,2979,6686,45
OCHILTREE,Jim Hogan,10,19,53
OLDHAM,Jim Hogan,0,0,0
ORANGE,Jim Hogan,706,1263,56
PALO PINTO,Jim Hogan,135,325,42
PANOLA,Jim Hogan,116,227,51
PARKER,Jim Hogan,490,1264,39
PARMER,Jim Hogan,17,28,61
PECOS,Jim Hogan,254,514,49
POLK,Jim Hogan,190,459,41
POTTER,Jim Hogan,306,752,41
PRESIDIO,Jim Hogan,312,844,37
RAINS,Jim Hogan,45,100,45
RANDALL,Jim Hogan,393,881,45
REAGAN,Jim Hogan,3,9,33
REAL,Jim Hogan,1,14,7
RED RIVER,Jim Hogan,153,262,58
REEVES,Jim Hogan,514,1119,46
REFUGIO,Jim Hogan,105,237,44
ROBERTS,Jim Hogan,0,0,0
ROBERTSON,Jim Hogan,762,1433,53
ROCKWALL,Jim Hogan,352,890,40
RUNNELS,Jim Hogan,16,42,38
RUSK,Jim Hogan,147,336,44
SABINE,Jim Hogan,79,145,54
SAN AUGUSTINE,Jim Hogan,153,322,48
SAN JACINTO,Jim Hogan,287,587,49
SAN PATRICIO,Jim Hogan,672,1393,48
SAN SABA,Jim Hogan,0,0,0
SCHLEICHER,Jim Hogan,77,138,56
SCURRY,Jim Hogan,42,89,47
SHACKELFORD,Jim Hogan,0,0,0
SHELBY,Jim Hogan,251,414,61
SHERMAN,Jim Hogan,9,11,82
SMITH,Jim Hogan,1017,1935,53
SOMERVELL,Jim Hogan,13,43,30
STARR,Jim Hogan,1314,3581,37
STEPHENS,Jim Hogan,36,50,72
STERLING,Jim Hogan,1,3,33
STONEWALL,Jim Hogan,113,186,61
SUTTON,Jim Hogan,8,25,32
SWISHER,Jim Hogan,223,420,53
TARRANT,Jim Hogan,13527,34704,39
TAYLOR,Jim Hogan,511,914,56
TERRELL,Jim Hogan,32,88,36
TERRY,Jim Hogan,61,105,58
THROCKMORTON,Jim Hogan,0,0,0
TITUS,Jim Hogan,185,418,44
TOM GREEN,Jim Hogan,361,886,41
TRAVIS,Jim Hogan,10901,41400,26
TRINITY,Jim Hogan,163,320,51
TYLER,Jim Hogan,177,320,55
UPSHUR,Jim Hogan,129,263,49
UPTON,Jim Hogan,132,306,43
UVALDE,Jim Hogan,597,1502,40
VAL VERDE,Jim Hogan,2014,5044,40
VAN ZANDT,Jim Hogan,223,445,50
VICTORIA,Jim Hogan,694,1241,56
WALKER,Jim Hogan,318,707,45
WALLER,Jim Hogan,355,776,46
WARD,Jim Hogan,270,492,55
WASHINGTON,Jim Hogan,147,338,43
WEBB,Jim Hogan,9942,21821,46
WHARTON,Jim Hogan,209,432,48
WHEELER,Jim Hogan,19,38,50
WICHITA,Jim Hogan,559,1202,47
WILBARGER,Jim Hogan,231,459,50
WILLACY,Jim Hogan,1000,2270,44
WILLIAMSON,Jim Hogan,2234,6690,33
WILSON,Jim Hogan,500,1058,47
WINKLER,Jim Hogan,10,20,50
WISE,Jim Hogan,272,575,47
WOOD,Jim Hogan,197,393,50
YOAKUM,Jim Hogan,0,0,0
YOUNG,Jim Hogan,67,151,44
ZAPATA,Jim Hogan,694,1348,51
ZAVALA,Jim Hogan,443,995,45
ANDERSON,"Richard ""Kinky"" Friedman",203,627,32
ANDREWS,"Richard ""Kinky"" Friedman",28,69,41
ANGELINA,"Richard ""Kinky"" Friedman",314,869,36
ARANSAS,"Richard ""Kinky"" Friedman",98,289,34
ARCHER,"Richard ""Kinky"" Friedman",14,55,25
ARMSTRONG,"Richard ""Kinky"" Friedman",0,0,0
ATASCOSA,"Richard ""Kinky"" Friedman",315,788,40
AUSTIN,"Richard ""Kinky"" Friedman",66,172,38
BAILEY,"Richard ""Kinky"" Friedman",16,32,50
BANDERA,"Richard ""Kinky"" Friedman",112,237,47
BASTROP,"Richard ""Kinky"" Friedman",658,1662,40
BAYLOR,"Richard ""Kinky"" Friedman",10,30,33
BEE,"Richard ""Kinky"" Friedman",387,1016,38
BELL,"Richard ""Kinky"" Friedman",728,2458,30
BEXAR,"Richard ""Kinky"" Friedman",15231,38649,39
BLANCO,"Richard ""Kinky"" Friedman",77,160,48
BORDEN,"Richard ""Kinky"" Friedman",0,0,0
BOSQUE,"Richard ""Kinky"" Friedman",98,255,38
BOWIE,"Richard ""Kinky"" Friedman",98,291,34
BRAZORIA,"Richard ""Kinky"" Friedman",865,2694,32
BRAZOS,"Richard ""Kinky"" Friedman",593,1782,33
BREWSTER,"Richard ""Kinky"" Friedman",642,1204,53
BRISCOE,"Richard ""Kinky"" Friedman",5,19,26
BROOKS,"Richard ""Kinky"" Friedman",681,1464,47
BROWN,"Richard ""Kinky"" Friedman",77,192,40
BURLESON,"Richard ""Kinky"" Friedman",73,213,34
BURNET,"Richard ""Kinky"" Friedman",153,458,33
CALDWELL,"Richard ""Kinky"" Friedman",824,1837,45
CALHOUN,"Richard ""Kinky"" Friedman",569,1505,38
CALLAHAN,"Richard ""Kinky"" Friedman",0,0,0
CAMERON,"Richard ""Kinky"" Friedman",5447,14067,39
CAMP,"Richard ""Kinky"" Friedman",51,181,28
CARSON,"Richard ""Kinky"" Friedman",16,56,29
CASS,"Richard ""Kinky"" Friedman",185,591,31
CASTRO,"Richard ""Kinky"" Friedman",22,75,29
CHAMBERS,"Richard ""Kinky"" Friedman",123,293,42
CHEROKEE,"Richard ""Kinky"" Friedman",130,412,32
CHILDRESS,"Richard ""Kinky"" Friedman",16,42,38
CLAY,"Richard ""Kinky"" Friedman",31,87,36
COCHRAN,"Richard ""Kinky"" Friedman",0,0,0
COKE,"Richard ""Kinky"" Friedman",9,22,41
COLEMAN,"Richard ""Kinky"" Friedman",22,67,33
COLLIN,"Richard ""Kinky"" Friedman",2881,8130,35
COLLINGSWORTH,"Richard ""Kinky"" Friedman",0,0,0
COLORADO,"Richard ""Kinky"" Friedman",85,216,39
COMAL,"Richard ""Kinky"" Friedman",627,1572,40
COMANCHE,"Richard ""Kinky"" Friedman",63,156,40
CONCHO,"Richard ""Kinky"" Friedman",6,21,29
COOKE,"Richard ""Kinky"" Friedman",102,254,40
CORYELL,"Richard ""Kinky"" Friedman",112,367,31
COTTLE,"Richard ""Kinky"" Friedman",15,35,43
CRANE,"Richard ""Kinky"" Friedman",37,79,47
CROCKETT,"Richard ""Kinky"" Friedman",235,491,48
CROSBY,"Richard ""Kinky"" Friedman",133,369,36
CULBERSON,"Richard ""Kinky"" Friedman",184,374,49
DALLAM,"Richard ""Kinky"" Friedman",0,0,0
DALLAS,"Richard ""Kinky"" Friedman",17586,55015,32
DAWSON,"Richard ""Kinky"" Friedman",91,267,34
DEAF SMITH,"Richard ""Kinky"" Friedman",23,53,43
DELTA,"Richard ""Kinky"" Friedman",29,85,34
DENTON,"Richard ""Kinky"" Friedman",2543,6606,38
DE WITT,"Richard ""Kinky"" Friedman",74,149,50
DICKENS,"Richard ""Kinky"" Friedman",0,0,0
DIMMIT,"Richard ""Kinky"" Friedman",1168,2562,46
DONLEY,"Richard ""Kinky"" Friedman",6,19,32
DUVAL,"Richard ""Kinky"" Friedman",767,2370,32
EASTLAND,"Richard ""Kinky"" Friedman",42,128,33
ECTOR,"Richard ""Kinky"" Friedman",442,1194,37
EDWARDS,"Richard ""Kinky"" Friedman",39,92,42
ELLIS,"Richard ""Kinky"" Friedman",645,1902,34
EL PASO,"Richard ""Kinky"" Friedman",11295,26042,43
ERATH,"Richard ""Kinky"" Friedman",109,240,45
FALLS,"Richard ""Kinky"" Friedman",69,219,32
FANNIN,"Richard ""Kinky"" Friedman",147,394,37
FAYETTE,"Richard ""Kinky"" Friedman",132,322,41
FISHER,"Richard ""Kinky"" Friedman",143,495,29
FLOYD,"Richard ""Kinky"" Friedman",5,29,17
FOARD,"Richard ""Kinky"" Friedman",23,83,28
FORT BEND,"Richard ""Kinky"" Friedman",2584,7707,34
FRANKLIN,"Richard ""Kinky"" Friedman",36,83,43
FREESTONE,"Richard ""Kinky"" Friedman",94,302,31
FRIO,"Richard ""Kinky"" Friedman",542,1432,38
GAINES,"Richard ""Kinky"" Friedman",25,66,38
GALVESTON,"Richard ""Kinky"" Friedman",1513,3842,39
GARZA,"Richard ""Kinky"" Friedman",6,26,23
GILLESPIE,"Richard ""Kinky"" Friedman",131,306,43
GLASSCOCK,"Richard ""Kinky"" Friedman",0,0,0
GOLIAD,"Richard ""Kinky"" Friedman",128,300,43
GONZALES,"Richard ""Kinky"" Friedman",77,190,41
GRAY,"Richard ""Kinky"" Friedman",29,74,39
GRAYSON,"Richard ""Kinky"" Friedman",395,1040,38
GREGG,"Richard ""Kinky"" Friedman",530,1596,33
GRIMES,"Richard ""Kinky"" Friedman",100,239,42
GUADALUPE,"Richard ""Kinky"" Friedman",495,1573,31
HALE,"Richard ""Kinky"" Friedman",49,168,29
HALL,"Richard ""Kinky"" Friedman",25,61,41
HAMILTON,"Richard ""Kinky"" Friedman",62,141,44
HANSFORD,"Richard ""Kinky"" Friedman",0,0,0
HARDEMAN,"Richard ""Kinky"" Friedman",27,66,41
HARDIN,"Richard ""Kinky"" Friedman",154,457,34
HARRIS,"Richard ""Kinky"" Friedman",15407,47072,33
HARRISON,"Richard ""Kinky"" Friedman",340,1118,30
HARTLEY,"Richard ""Kinky"" Friedman",0,0,0
HASKELL,"Richard ""Kinky"" Friedman",52,192,27
HAYS,"Richard ""Kinky"" Friedman",1089,2922,37
HEMPHILL,"Richard ""Kinky"" Friedman",2,17,12
HENDERSON,"Richard ""Kinky"" Friedman",370,926,40
HIDALGO,"Richard ""Kinky"" Friedman",13934,30809,45
HILL,"Richard ""Kinky"" Friedman",131,401,33
HOCKLEY,"Richard ""Kinky"" Friedman",36,123,29
HOOD,"Richard ""Kinky"" Friedman",207,585,35
HOPKINS,"Richard ""Kinky"" Friedman",130,420,31
HOUSTON,"Richard ""Kinky"" Friedman",57,235,24
HOWARD,"Richard ""Kinky"" Friedman",90,214,42
HUDSPETH,"Richard ""Kinky"" Friedman",196,356,55
HUNT,"Richard ""Kinky"" Friedman",270,664,41
HUTCHINSON,"Richard ""Kinky"" Friedman",51,139,37
IRION,"Richard ""Kinky"" Friedman",5,19,26
JACK,"Richard ""Kinky"" Friedman",24,71,34
JACKSON,"Richard ""Kinky"" Friedman",35,121,29
JASPER,"Richard ""Kinky"" Friedman",209,787,27
JEFF DAVIS,"Richard ""Kinky"" Friedman",171,364,47
JEFFERSON,"Richard ""Kinky"" Friedman",3245,9105,36
JIM HOGG,"Richard ""Kinky"" Friedman",672,1446,46
JIM WELLS,"Richard ""Kinky"" Friedman",1497,3760,40
JOHNSON,"Richard ""Kinky"" Friedman",506,1214,42
JONES,"Richard ""Kinky"" Friedman",46,135,34
KARNES,"Richard ""Kinky"" Friedman",623,1311,48
KAUFMAN,"Richard ""Kinky"" Friedman",373,1045,36
KENDALL,"Richard ""Kinky"" Friedman",113,319,35
KENEDY,"Richard ""Kinky"" Friedman",22,53,42
KENT,"Richard ""Kinky"" Friedman",58,137,42
KERR,"Richard ""Kinky"" Friedman",279,543,51
KIMBLE,"Richard ""Kinky"" Friedman",0,0,0
KING,"Richard ""Kinky"" Friedman",0,2,0
KINNEY,"Richard ""Kinky"" Friedman",117,333,35
KLEBERG,"Richard ""Kinky"" Friedman",645,1750,37
KNOX,"Richard ""Kinky"" Friedman",16,65,25
LAMAR,"Richard ""Kinky"" Friedman",185,557,33
LAMB,"Richard ""Kinky"" Friedman",30,92,33
LAMPASAS,"Richard ""Kinky"" Friedman",53,161,33
LA SALLE,"Richard ""Kinky"" Friedman",361,796,45
LAVACA,"Richard ""Kinky"" Friedman",77,238,32
LEE,"Richard ""Kinky"" Friedman",113,276,41
LEON,"Richard ""Kinky"" Friedman",49,131,37
LIBERTY,"Richard ""Kinky"" Friedman",234,528,44
LIMESTONE,"Richard ""Kinky"" Friedman",115,299,38
LIPSCOMB,"Richard ""Kinky"" Friedman",7,15,47
LIVE OAK,"Richard ""Kinky"" Friedman",43,113,38
LLANO,"Richard ""Kinky"" Friedman",147,422,35
LOVING,"Richard ""Kinky"" Friedman",2,9,22
LUBBOCK,"Richard ""Kinky"" Friedman",1497,3722,40
LYNN,"Richard ""Kinky"" Friedman",0,0,0
MADISON,"Richard ""Kinky"" Friedman",32,101,32
MARION,"Richard ""Kinky"" Friedman",81,216,38
MARTIN,"Richard ""Kinky"" Friedman",10,26,38
MASON,"Richard ""Kinky"" Friedman",23,61,38
MATAGORDA,"Richard ""Kinky"" Friedman",449,1228,37
MAVERICK,"Richard ""Kinky"" Friedman",1125,3149,36
MCCULLOCH,"Richard ""Kinky"" Friedman",0,0,0
MCLENNAN,"Richard ""Kinky"" Friedman",674,2030,33
MCMULLEN,"Richard ""Kinky"" Friedman",0,0,0
MEDINA,"Richard ""Kinky"" Friedman",186,477,39
MENARD,"Richard ""Kinky"" Friedman",12,20,60
MIDLAND,"Richard ""Kinky"" Friedman",322,878,37
MILAM,"Richard ""Kinky"" Friedman",131,385,34
MILLS,"Richard ""Kinky"" Friedman",0,0,0
MITCHELL,"Richard ""Kinky"" Friedman",32,89,36
MONTAGUE,"Richard ""Kinky"" Friedman",35,90,39
MONTGOMERY,"Richard ""Kinky"" Friedman",910,2280,40
MOORE,"Richard ""Kinky"" Friedman",0,0,0
MORRIS,"Richard ""Kinky"" Friedman",284,811,35
MOTLEY,"Richard ""Kinky"" Friedman",5,14,36
NACOGDOCHES,"Richard ""Kinky"" Friedman",227,624,36
NAVARRO,"Richard ""Kinky"" Friedman",183,503,36
NEWTON,"Richard ""Kinky"" Friedman",331,983,34
NOLAN,"Richard ""Kinky"" Friedman",124,333,37
NUECES,"Richard ""Kinky"" Friedman",2213,6686,33
OCHILTREE,"Richard ""Kinky"" Friedman",5,19,26
OLDHAM,"Richard ""Kinky"" Friedman",0,0,0
ORANGE,"Richard ""Kinky"" Friedman",386,1263,31
PALO PINTO,"Richard ""Kinky"" Friedman",130,325,40
PANOLA,"Richard ""Kinky"" Friedman",46,227,20
PARKER,"Richard ""Kinky"" Friedman",506,1264,40
PARMER,"Richard ""Kinky"" Friedman",9,28,32
PECOS,"Richard ""Kinky"" Friedman",184,514,36
POLK,"Richard ""Kinky"" Friedman",177,459,39
POTTER,"Richard ""Kinky"" Friedman",300,752,40
PRESIDIO,"Richard ""Kinky"" Friedman",390,844,46
RAINS,"Richard ""Kinky"" Friedman",30,100,30
RANDALL,"Richard ""Kinky"" Friedman",306,881,35
REAGAN,"Richard ""Kinky"" Friedman",4,9,44
REAL,"Richard ""Kinky"" Friedman",7,14,50
RED RIVER,"Richard ""Kinky"" Friedman",72,262,27
REEVES,"Richard ""Kinky"" Friedman",483,1119,43
REFUGIO,"Richard ""Kinky"" Friedman",75,237,32
ROBERTS,"Richard ""Kinky"" Friedman",0,0,0
ROBERTSON,"Richard ""Kinky"" Friedman",469,1433,33
ROCKWALL,"Richard ""Kinky"" Friedman",332,890,37
RUNNELS,"Richard ""Kinky"" Friedman",11,42,26
RUSK,"Richard ""Kinky"" Friedman",128,336,38
SABINE,"Richard ""Kinky"" Friedman",48,145,33
SAN AUGUSTINE,"Richard ""Kinky"" Friedman",100,322,31
SAN JACINTO,"Richard ""Kinky"" Friedman",223,587,38
SAN PATRICIO,"Richard ""Kinky"" Friedman",424,1393,30
SAN SABA,"Richard ""Kinky"" Friedman",0,0,0
SCHLEICHER,"Richard ""Kinky"" Friedman",49,138,36
SCURRY,"Richard ""Kinky"" Friedman",29,89,33
SHACKELFORD,"Richard ""Kinky"" Friedman",0,0,0
SHELBY,"Richard ""Kinky"" Friedman",121,414,29
SHERMAN,"Richard ""Kinky"" Friedman",2,11,18
SMITH,"Richard ""Kinky"" Friedman",599,1935,31
SOMERVELL,"Richard ""Kinky"" Friedman",25,43,58
STARR,"Richard ""Kinky"" Friedman",1866,3581,52
STEPHENS,"Richard ""Kinky"" Friedman",9,50,18
STERLING,"Richard ""Kinky"" Friedman",1,3,33
STONEWALL,"Richard ""Kinky"" Friedman",66,186,35
SUTTON,"Richard ""Kinky"" Friedman",15,25,60
SWISHER,"Richard ""Kinky"" Friedman",150,420,36
TARRANT,"Richard ""Kinky"" Friedman",13213,34704,38
TAYLOR,"Richard ""Kinky"" Friedman",244,914,27
TERRELL,"Richard ""Kinky"" Friedman",44,88,50
TERRY,"Richard ""Kinky"" Friedman",34,105,32
THROCKMORTON,"Richard ""Kinky"" Friedman",0,0,0
TITUS,"Richard ""Kinky"" Friedman",150,418,36
TOM GREEN,"Richard ""Kinky"" Friedman",319,886,36
TRAVIS,"Richard ""Kinky"" Friedman",15703,41400,38
TRINITY,"Richard ""Kinky"" Friedman",114,320,36
TYLER,"Richard ""Kinky"" Friedman",101,320,32
UPSHUR,"Richard ""Kinky"" Friedman",81,263,31
UPTON,"Richard ""Kinky"" Friedman",145,306,47
UVALDE,"Richard ""Kinky"" Friedman",652,1502,43
VAL VERDE,"Richard ""Kinky"" Friedman",2107,5044,42
VAN ZANDT,"Richard ""Kinky"" Friedman",158,445,36
VICTORIA,"Richard ""Kinky"" Friedman",397,1241,32
WALKER,"Richard ""Kinky"" Friedman",229,707,32
WALLER,"Richard ""Kinky"" Friedman",286,776,37
